userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,0.9052807092666626) (1,0.9031793475151062)* (2081,0.6883383989334106) (34,0.6869486570358276) (318,0.6586472392082214) (2687,0.6478927135467529) (2096,0.6328665018081665) (1028,0.624160647392273)* (2761,0.5929548740386963) (1097,0.5847176313400269)* (3751,0.5744806528091431) (2087,0.5720150470733643) (2085,0.559831440448761) (1198,0.5575133562088013) (480,0.5541533827781677) (593,0.551691472530365) (1704,0.5502195954322815) (2018,0.538943886756897)* (2394,0.5385363101959229) (1029,0.531145453453064)*
2: (110,0.9723868370056152)* (1704,0.8358802795410156) (527,0.8154956698417664) (593,0.7957650423049927)* (150,0.7663737535476685) (1291,0.6911298036575317) (2571,0.6880975365638733)* (858,0.6587830185890198) (1580,0.6260539293289185) (1036,0.6228256225585938) (260,0.6228148341178894) (1961,0.6154295802116394) (2762,0.6106135845184326) (733,0.6059936285018921) (3256,0.6053194999694824) (1721,0.6046494841575623) (1097,0.6039756536483765) (377,0.6015099287033081) (1225,0.6001816987991333)* (3753,0.5941250324249268)
3: (1270,0.8957356214523315) (2716,0.8319339752197266) (2918,0.7810105085372925) (110,0.7744290828704834) (1036,0.7495467662811279) (2791,0.7477874755859375) (2804,0.718250036239624) (1240,0.6998648643493652) (589,0.6817044019699097) (1307,0.6731385588645935) (2000,0.6614625453948975) (1220,0.6515152454376221) (2797,0.6471130847930908) (2028,0.6423224210739136) (1580,0.6407743692398071) (1073,0.6286830306053162) (919,0.6279898285865784) (1387,0.6193630695343018) (1,0.610924243927002) (1200,0.6102684736251831)
5: (2599,1.1614151000976562)* (2858,0.9897401928901672)* (3160,0.9361191391944885) (223,0.8654378652572632) (2336,0.7924580574035645) (3176,0.7117353677749634) (1673,0.7115217447280884) (1617,0.6908714771270752) (778,0.6861686706542969) (1041,0.6814427375793457) (3481,0.6621015071868896) (2762,0.6553324460983276) (1089,0.6424543857574463)* (235,0.6334749460220337) (1719,0.6309131383895874) (247,0.6297059059143066) (1148,0.5988796949386597) (1179,0.5948284864425659) (2600,0.5772775411605835) (2396,0.5764168500900269)
6: (1022,0.6893755793571472) (899,0.6677671074867249) (2080,0.6516827344894409) (2096,0.6401516795158386) (3512,0.6180686354637146) (539,0.6123753786087036) (1721,0.5942063331604004) (2565,0.5922038555145264) (3408,0.5765636563301086)* (2355,0.5762891173362732) (2087,0.5611580610275269) (1907,0.56028151512146) (1569,0.5568618774414062)* (594,0.5494934320449829) (2424,0.5360627174377441) (919,0.536038875579834) (2687,0.535813570022583) (1307,0.5304548740386963) (2941,0.5271229147911072) (1282,0.509709894657135)
7: (589,1.2573555707931519)* (2571,1.161872148513794)* (480,1.087924599647522)* (377,0.9446794390678406) (1370,0.9032740592956543) (1036,0.8828743100166321) (780,0.8624672889709473) (1608,0.8002171516418457) (2058,0.7490769624710083) (165,0.7479490041732788) (1527,0.7394638061523438) (3578,0.7370784878730774) (2763,0.7257858514785767) (1240,0.7232511639595032) (10,0.7152827978134155) (3555,0.7065401077270508) (1291,0.7055974006652832) (1198,0.6737393140792847) (2628,0.6709235906600952) (1552,0.6602006554603577)
8: (2028,0.8164045810699463)* (318,0.7315424680709839) (2571,0.7172681093215942)* (593,0.6908226013183594) (589,0.6890396475791931)* (2959,0.6827762126922607) (2336,0.6804630756378174) (3418,0.6680648326873779) (3160,0.644005537033081) (50,0.6355447769165039) (1183,0.6297633647918701) (778,0.6294063329696655) (590,0.6286575794219971) (1358,0.6231772899627686) (47,0.6211361885070801) (1393,0.6029767990112305)* (457,0.5967821478843689) (1408,0.5959826707839966) (6,0.5858864188194275) (25,0.5849810838699341)*
9: (296,1.2965803146362305) (2997,1.2085713148117065) (1213,1.0887353420257568)* (2396,1.073927640914917) (110,1.0611698627471924) (3578,0.9740896821022034) (589,0.968582808971405) (356,0.8969833850860596) (2355,0.8769038915634155)* (32,0.875964879989624) (2599,0.860895037651062) (150,0.8599040508270264) (1196,0.8233022093772888) (260,0.8084485530853271) (3006,0.8018206357955933) (1784,0.7976229786872864) (2706,0.7965198755264282) (1393,0.7963979244232178) (34,0.791289210319519) (3753,0.7883551716804504)
10: (1356,0.9566808938980103)* (2080,0.9131500124931335)* (1376,0.8586513996124268)* (2628,0.7954432964324951) (3114,0.787462592124939)* (2407,0.7853699326515198)* (329,0.7610747814178467)* (1197,0.7559570074081421)* (2424,0.7515997886657715)* (316,0.7395367622375488)* (2565,0.7132136225700378) (1569,0.7084272503852844) (1278,0.7071033120155334)* (2085,0.7069694399833679) (3479,0.6940343976020813) (2657,0.6923747062683105)* (440,0.6891292333602905) (1721,0.6822199821472168) (2716,0.6789071559906006)* (1029,0.6761523485183716)
11: (223,0.9415484666824341) (296,0.9248532652854919) (318,0.9171628355979919)* (2395,0.8036019802093506) (2706,0.7907013893127441) (2599,0.7800757884979248) (1060,0.7716734409332275) (1517,0.7702579498291016) (1213,0.7287813425064087)* (3253,0.7004140615463257) (2324,0.7003589868545532) (2502,0.6790015697479248) (1265,0.67766273021698) (47,0.6731796860694885) (2700,0.6651188731193542) (3147,0.6510025858879089) (3174,0.6374648809432983) (3052,0.6251555681228638) (3421,0.6090196967124939) (1500,0.6020903587341309)
12: (608,0.598118245601654) (260,0.5862318277359009) (1214,0.5623456239700317) (1213,0.5482070446014404) (1193,0.532297670841217)* (50,0.5184541940689087) (296,0.503350019454956) (1219,0.49755674600601196) (912,0.4961366057395935) (1617,0.4829670190811157) (750,0.4812515676021576) (1252,0.47827833890914917) (1196,0.4781455993652344) (1198,0.46946248412132263)* (2858,0.4617222547531128) (908,0.4582631289958954) (924,0.456241250038147) (318,0.4453337788581848) (2019,0.4416009485721588) (1206,0.43730759620666504)
