userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,8.970443725585938)* (265,7.4939751625061035) (11,7.195255279541016)* (324,7.1939496994018555) (215,6.988058567047119) (48,6.908900260925293)* (53,6.807575702667236)* (170,6.802870750427246)* (276,6.719417572021484) (300,6.607875823974609) (674,6.573770523071289) (279,6.4941253662109375) (169,6.363941192626953)* (107,6.3212890625)* (1187,6.286557197570801) (203,6.226157188415527) (371,6.133760929107666) (262,6.0826921463012695) (632,5.995701789855957) (440,5.947958946228027)
1: (167,5.604984283447266) (142,5.110597610473633) (215,5.070223331451416)* (48,4.900327682495117) (364,4.790203094482422) (324,4.636889457702637) (810,4.537652969360352) (226,4.518490791320801) (360,4.460386753082275) (669,4.407833576202393) (159,4.380066871643066) (421,4.329620361328125) (35,4.307090759277344)* (721,4.275454998016357) (366,4.2614264488220215) (17,4.162533283233643) (168,4.1371989250183105)* (173,4.137151718139648) (162,4.134735107421875) (382,4.114079475402832)
2: (11,8.710366249084473)* (113,8.61748218536377)* (661,8.243967056274414) (131,7.713365077972412)* (90,7.674190521240234)* (10,7.5872297286987305)* (262,7.50521993637085)* (211,7.191388130187988) (665,7.064189434051514) (674,7.056089401245117) (35,7.0280866622924805)* (922,6.913468837738037) (670,6.858879089355469) (374,6.779942989349365) (439,6.761780738830566) (274,6.759012699127197)* (101,6.756383895874023) (189,6.735280990600586) (3445,6.709526538848877) (366,6.548234939575195)
3: (15,7.306236267089844) (167,7.018246173858643) (215,5.900792121887207) (48,5.878100872039795) (168,5.5974507331848145) (674,5.525455474853516) (11,5.493626594543457) (107,5.215037822723389) (67,5.133634090423584) (139,5.114727020263672) (113,5.095990180969238) (156,5.071019172668457) (162,5.049087047576904) (363,5.036795139312744)* (632,4.995552062988281) (922,4.994821071624756) (1357,4.986775875091553) (665,4.942975044250488) (142,4.906074523925781) (135,4.867300033569336)
4: (1055,8.220719337463379) (1649,7.744903087615967) (479,7.655303955078125)* (628,7.6492085456848145)* (618,7.548386573791504)* (1126,7.402010917663574) (1100,7.196850776672363) (203,7.098629951477051) (431,7.0955634117126465)* (632,7.067263603210449)* (529,6.821929931640625)* (1027,6.7661566734313965) (73,6.716060638427734)* (116,6.711498260498047) (143,6.709435939788818) (344,6.661459922790527) (660,6.643802642822266)* (1063,6.558591842651367) (1276,6.551449775695801) (1569,6.540719985961914)
5: (167,7.645888328552246)* (15,7.26137638092041)* (4,6.871957778930664) (366,6.565964221954346) (215,6.294463157653809) (210,6.217178821563721) (226,6.163115501403809) (0,6.095181941986084)* (434,6.080190658569336) (810,6.077092170715332) (1279,6.060020923614502) (721,6.045810222625732) (324,5.991527080535889) (11,5.94576358795166) (131,5.94388484954834) (107,5.854306221008301) (67,5.729892730712891) (986,5.682061195373535) (364,5.655158519744873) (81,5.648841857910156)
6: (81,5.733057022094727) (4397,5.126948833465576) (345,5.110297679901123) (778,4.939750671386719)* (4,4.922290802001953) (1279,4.900404930114746) (342,4.881197452545166) (744,4.815703392028809)* (1894,4.792025566101074) (1814,4.767037391662598) (329,4.7546563148498535) (434,4.730189323425293) (2594,4.640541076660156) (1987,4.527099132537842) (6932,4.386173248291016) (226,4.3611249923706055) (1180,4.250480651855469) (3310,4.1970295906066895) (1832,4.143474578857422) (4937,4.140476703643799)
7: (136,8.687328338623047)* (1273,8.5380220413208) (87,7.860243320465088) (1187,7.310206890106201) (106,7.308973789215088)* (159,7.108104705810547) (1116,7.016230583190918) (1172,6.965976715087891) (324,6.955648422241211) (67,6.901810646057129) (1267,6.873363018035889) (135,6.8341498374938965) (1260,6.791810512542725) (915,6.5231733322143555)* (404,6.4889044761657715) (1061,6.3979644775390625) (265,6.381104469299316) (674,6.358983993530273) (168,6.356636047363281) (1305,6.234362602233887)
8: (1278,7.240935802459717) (130,7.054633617401123) (560,6.949201583862305)* (106,6.8919677734375) (530,6.174432277679443)* (592,6.168612957000732)* (486,6.164882659912109)* (3266,6.025046348571777) (520,6.023857593536377) (139,5.978914260864258) (1553,5.920308589935303) (15,5.827211856842041)* (649,5.757290840148926) (134,5.71603536605835) (125,5.671175003051758) (1276,5.669417381286621) (559,5.611460208892822) (913,5.584325790405273) (538,5.5651421546936035)* (163,5.528353691101074)
9: (1273,5.805605888366699) (907,5.504021644592285) (1062,5.48881721496582) (906,5.481536865234375) (190,5.292108535766602) (185,5.224552154541016)* (3381,4.989675998687744) (512,4.853734970092773) (802,4.734112739562988) (519,4.709078311920166) (1553,4.583137512207031) (560,4.556671619415283) (528,4.547538757324219) (147,4.54667329788208) (4236,4.457880020141602) (3265,4.403013229370117) (1280,4.375431537628174) (2069,4.332310199737549) (3827,4.313785076141357) (1043,4.302803993225098)
10: (863,2.123383045196533) (2428,2.116509199142456) (1935,2.0844316482543945) (263,2.0766797065734863) (158,1.9800066947937012) (3127,1.9205278158187866) (834,1.9135041236877441) (1116,1.8996391296386719) (315,1.8915643692016602) (3024,1.8709443807601929) (1117,1.870026707649231) (2582,1.8515580892562866) (9157,1.849642038345337) (6091,1.845045804977417) (2175,1.838599681854248) (876,1.8364465236663818) (1340,1.834635615348816) (2412,1.804125189781189) (2244,1.7967885732650757) (119,1.7966842651367188)
