userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,9.260698318481445)* (265,7.40818452835083) (11,7.243408203125)* (324,7.1678900718688965) (215,7.024662017822266) (48,7.00746488571167)* (170,6.78004264831543)* (53,6.7480974197387695)* (276,6.73099422454834) (300,6.5774736404418945) (674,6.513030529022217) (279,6.449097633361816) (169,6.3520097732543945)* (107,6.321380615234375)* (371,6.212302207946777) (1187,6.1766357421875) (203,6.117630958557129) (262,6.080989837646484) (632,5.9167585372924805) (440,5.913481712341309)
1: (167,5.632178783416748) (215,4.9880051612854)* (142,4.979372978210449) (48,4.878270149230957) (364,4.661293983459473) (324,4.567122936248779) (810,4.402108192443848) (226,4.388924598693848) (159,4.362548828125) (360,4.352024555206299) (669,4.264878273010254) (366,4.212621688842773) (35,4.202677249908447)* (721,4.195674896240234) (17,4.139950752258301) (421,4.133417129516602) (168,4.093059062957764)* (162,4.0695343017578125) (312,4.057071685791016) (170,4.04157829284668)
2: (11,8.69475269317627)* (113,8.588578224182129)* (661,8.118122100830078) (131,7.766978740692139)* (90,7.5521745681762695)* (262,7.458743095397949)* (10,7.382750511169434)* (211,7.143266677856445) (665,7.049511909484863) (35,7.0217204093933105)* (674,6.989205360412598) (670,6.9053239822387695) (922,6.818892955780029) (101,6.736337661743164) (274,6.670293807983398)* (439,6.666594505310059) (374,6.639702796936035) (189,6.621623516082764) (366,6.598413467407227) (3445,6.583700656890869)
3: (15,7.371443748474121) (167,6.98509407043457) (48,5.802953720092773) (215,5.7748541831970215) (168,5.4798264503479) (11,5.442808151245117) (674,5.348256587982178) (67,5.142176628112793) (107,5.108860969543457) (113,4.995251178741455) (139,4.968713760375977) (363,4.9525146484375)* (162,4.921421051025391) (156,4.86087703704834) (922,4.844106197357178) (632,4.837443828582764) (1357,4.829558372497559) (665,4.797399520874023) (142,4.761075019836426) (135,4.760071277618408)
4: (1055,8.196781158447266) (1649,7.5794219970703125) (628,7.500133991241455)* (618,7.485130310058594)* (479,7.415396690368652)* (1100,7.236482620239258) (1126,7.221360206604004) (203,7.070518493652344) (632,6.997269630432129)* (431,6.864345550537109)* (529,6.787898540496826)* (1027,6.751871585845947) (116,6.726927757263184) (73,6.712337017059326)* (1063,6.618649005889893) (143,6.612821578979492) (344,6.602749347686768) (1276,6.5932512283325195) (1278,6.491703033447266) (660,6.49151611328125)*
5: (167,7.630835056304932)* (15,7.440403461456299)* (4,6.767025470733643) (366,6.468934059143066) (215,6.351233959197998) (210,6.05344295501709) (226,5.984927177429199) (721,5.980546474456787) (0,5.972628593444824)* (11,5.945720672607422) (324,5.9328203201293945) (131,5.928014755249023) (1279,5.895658493041992) (434,5.88645076751709) (810,5.885738372802734) (107,5.732945919036865) (67,5.717966079711914) (81,5.636040687561035) (364,5.559544563293457) (716,5.5227837562561035)*
6: (81,6.097175598144531) (345,4.963757514953613) (1279,4.9443678855896) (4,4.929516792297363) (4397,4.8763508796691895) (778,4.825894355773926)* (744,4.717360496520996)* (1814,4.690988540649414) (329,4.668276786804199) (434,4.666375637054443) (342,4.653012275695801) (1894,4.46821928024292) (1987,4.372176647186279) (6932,4.2935709953308105) (2594,4.292784214019775) (226,4.2174835205078125) (1832,4.143452167510986) (8829,4.084190368652344) (1180,4.0399088859558105) (4937,3.9876956939697266)
7: (136,8.640317916870117)* (1273,8.402475357055664) (87,7.797492027282715) (159,7.2250471115112305) (1187,7.205306529998779) (106,7.18366813659668)* (67,7.004778861999512) (1116,6.90920877456665) (135,6.902766227722168) (324,6.8890790939331055) (1172,6.827209949493408) (1260,6.733282089233398) (1267,6.692427158355713) (915,6.4853410720825195)* (265,6.4630126953125) (674,6.403214454650879) (168,6.396549224853516) (11,6.396223068237305) (1061,6.3777313232421875) (404,6.374749660491943)
8: (130,7.238981246948242) (1278,7.235080718994141) (560,7.011579990386963)* (106,6.827603816986084) (592,6.339488983154297)* (15,6.1537628173828125)* (520,6.124751567840576) (530,6.101239204406738)* (486,6.0574188232421875)* (3266,5.973799705505371) (139,5.964836120605469) (1553,5.917466640472412) (134,5.805596351623535) (649,5.689182758331299) (913,5.677434921264648) (559,5.650575160980225) (1276,5.622267723083496) (163,5.596585273742676) (125,5.531743049621582) (528,5.485857963562012)*
9: (1273,5.750794410705566) (1062,5.470340251922607) (907,5.421689033508301) (906,5.299582481384277) (185,5.226958751678467)* (190,5.118099212646484) (512,4.930210590362549) (519,4.819552421569824) (3381,4.695878982543945) (560,4.694396018981934) (802,4.537835597991943) (147,4.463920593261719) (1553,4.433646202087402) (528,4.394398212432861) (3265,4.30840539932251) (2069,4.275966644287109) (1043,4.273926734924316) (4236,4.238530158996582) (1280,4.2363457679748535) (2761,4.150931358337402)
10: (263,1.9830336570739746) (2428,1.9587764739990234) (863,1.9569218158721924) (158,1.931282877922058) (1935,1.9253294467926025) (834,1.8337904214859009) (3024,1.7985705137252808) (876,1.7861442565917969) (1117,1.7666358947753906) (119,1.7639193534851074) (1116,1.7586146593093872) (315,1.752460241317749) (2244,1.7411308288574219) (3127,1.740692377090454) (13,1.731978178024292) (6091,1.723193883895874) (1340,1.706793189048767) (9157,1.6983243227005005) (2582,1.6912028789520264) (2844,1.6883974075317383)
