userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,10.05240249633789)* (48,9.41688060760498)* (136,9.346254348754883)* (265,9.137467384338379) (169,9.060604095458984)* (560,8.843793869018555) (324,8.73836612701416) (215,8.720965385437012) (592,8.693533897399902) (53,8.67590045928955)* (276,8.599560737609863) (823,8.541635513305664) (11,8.514471054077148)* (107,8.444454193115234)* (170,8.406631469726562)* (674,8.329887390136719) (298,8.24554443359375) (1187,8.242687225341797) (279,8.237787246704102) (262,8.168283462524414)
1: (159,6.734437942504883) (167,6.712432861328125) (48,6.5735650062561035) (215,6.256153583526611)* (142,5.971710681915283) (81,5.91638708114624) (312,5.882759094238281) (67,5.873972415924072) (185,5.852909088134766) (364,5.818051338195801) (592,5.800839424133301) (168,5.763916969299316)* (298,5.749746799468994) (169,5.728824615478516) (136,5.72602653503418) (265,5.68760871887207) (560,5.675325393676758) (324,5.664534091949463) (17,5.64266300201416) (113,5.621133804321289)
2: (113,10.111242294311523)* (11,9.870458602905273)* (823,9.49538803100586) (262,9.401976585388184)* (374,9.356975555419922) (131,9.319351196289062)* (661,9.316132545471191) (189,9.207459449768066) (88,9.177453994750977) (10,9.161458969116211)* (922,9.14176082611084) (670,9.094457626342773) (674,9.057206153869629) (81,8.9676513671875) (439,8.917891502380371) (158,8.873462677001953) (366,8.863739013671875) (274,8.83149242401123)* (669,8.819497108459473) (2328,8.763270378112793)
3: (15,7.117230415344238) (167,6.944657802581787) (48,6.788085460662842) (215,6.371617317199707) (67,6.164105415344238) (4,6.115823268890381) (81,6.087103843688965) (11,6.06510591506958) (185,6.044641494750977) (168,6.032915115356445) (312,6.017355918884277) (136,5.987276077270508) (107,5.983470439910889) (674,5.982268333435059) (298,5.948971748352051) (823,5.941226005554199) (560,5.935507774353027) (113,5.922877311706543) (142,5.912078380584717) (922,5.877354621887207)
4: (628,11.47594928741455)* (116,11.276412963867188) (1063,11.257341384887695) (1055,11.225937843322754) (431,10.973346710205078)* (1649,10.854667663574219) (913,10.805845260620117) (1553,10.76167106628418) (1027,10.694841384887695) (618,10.471588134765625)* (1278,10.35594654083252) (1100,10.35354232788086) (774,10.143861770629883) (143,10.140974044799805) (1068,10.100927352905273) (660,10.073025703430176)* (1126,9.95112419128418) (1619,9.900752067565918) (529,9.784263610839844)* (1569,9.745631217956543)
5: (15,8.596002578735352)* (167,8.527843475341797)* (4,7.966126441955566) (215,7.725399017333984) (67,7.532626152038574) (130,7.530062675476074) (560,7.52811861038208) (81,7.512932300567627) (298,7.485377311706543) (312,7.434330463409424) (131,7.416234016418457) (185,7.408005714416504) (366,7.400781154632568) (107,7.348046779632568) (169,7.312028408050537) (592,7.254886627197266) (11,7.211033344268799) (324,7.2083635330200195) (810,7.0736494064331055) (0,7.060232162475586)*
6: (4,9.283803939819336) (342,8.994088172912598) (48,8.741402626037598)* (136,8.657880783081055) (345,8.64975357055664) (1279,8.629364013671875) (1814,8.573582649230957) (185,8.55851936340332) (3310,8.488097190856934) (15,8.460662841796875) (744,8.412302017211914)* (81,8.381784439086914) (159,8.368669509887695) (329,8.345760345458984) (312,8.28256607055664) (2594,8.263689994812012) (1180,8.231891632080078) (434,8.194160461425781) (1987,8.111490249633789) (4397,8.108893394470215)
7: (185,11.162881851196289) (136,11.1549654006958)* (159,10.61732292175293) (1273,10.37425422668457) (106,9.889932632446289)* (87,9.798991203308105) (147,9.746618270874023) (1063,9.639508247375488) (169,9.587077140808105) (67,9.507882118225098) (1062,9.472347259521484) (2069,9.441606521606445) (686,9.395280838012695) (1116,9.383533477783203) (265,9.335404396057129) (1187,9.329423904418945) (539,9.32308578491211) (625,9.319576263427734) (404,9.20365047454834) (129,9.098373413085938)
8: (592,9.966306686401367)* (560,9.960816383361816)* (130,9.846223831176758) (15,9.837381362915039)* (106,9.57211685180664) (1278,9.341842651367188) (167,9.29500961303711) (1553,9.165987014770508) (520,9.100157737731934) (159,8.933188438415527)* (1144,8.830018997192383) (575,8.627006530761719) (913,8.595393180847168) (649,8.567582130432129) (707,8.528131484985352) (169,8.48779296875) (324,8.473459243774414) (2066,8.43372917175293) (519,8.42054271697998)* (170,8.365217208862305)
9: (185,10.808114051818848)* (1062,9.938451766967773) (625,9.8579683303833) (1273,9.773172378540039) (190,9.465167999267578) (560,9.438129425048828) (1553,9.384086608886719) (147,9.350381851196289) (512,9.267274856567383) (2997,9.176156997680664) (806,9.173961639404297) (907,8.9530029296875) (519,8.828901290893555) (2096,8.797698974609375) (2069,8.722210884094238) (802,8.720081329345703) (136,8.682153701782227) (539,8.539070129394531) (555,8.538094520568848) (1100,8.430459022521973)
10: (823,4.045578479766846) (1273,4.017700672149658) (922,4.005296230316162) (842,3.9685420989990234) (263,3.9296891689300537) (1116,3.923098087310791) (159,3.8890087604522705) (1192,3.8733530044555664) (158,3.853201150894165) (834,3.826650857925415) (2175,3.7383368015289307) (1935,3.685365915298462) (48,3.679072618484497) (2220,3.6596601009368896) (2582,3.657139301300049) (240,3.635005235671997) (2244,3.6310219764709473) (3024,3.6268253326416016) (174,3.623115062713623) (1812,3.622102975845337)
