userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,9.564868927001953)* (265,7.842133522033691) (11,7.7507147789001465)* (48,7.692915439605713)* (276,7.542703151702881) (215,7.536496162414551) (324,7.4392218589782715) (53,7.2664008140563965)* (170,7.199534893035889)* (300,7.1163434982299805) (279,7.032366752624512) (674,6.946537017822266) (107,6.810775279998779)* (169,6.754537582397461)* (203,6.595279693603516) (262,6.584053993225098) (1187,6.4734086990356445) (371,6.444366455078125) (632,6.346616268157959) (661,6.319310188293457)
1: (167,6.241702079772949) (215,5.502741813659668)* (142,5.4500956535339355) (48,5.24366569519043) (364,5.054070949554443) (324,5.0068511962890625) (810,4.785106658935547) (226,4.76483678817749) (360,4.670501708984375) (159,4.664608955383301) (35,4.64917516708374)* (669,4.575109958648682) (17,4.5718889236450195) (721,4.462577819824219) (421,4.443141937255859) (366,4.404122829437256) (162,4.398059368133545) (170,4.36591911315918) (173,4.362495422363281) (312,4.353829383850098)
2: (11,9.400521278381348)* (661,9.112485885620117) (113,9.044626235961914)* (90,8.518857955932617)* (10,8.408493041992188)* (131,8.389077186584473)* (262,7.943728446960449)* (211,7.654811382293701) (665,7.621482849121094) (35,7.5903825759887695)* (670,7.534231185913086) (274,7.429855823516846)* (674,7.3047566413879395) (922,7.262718200683594) (101,7.15490198135376) (949,7.085729122161865) (3445,7.081085681915283) (439,7.080282211303711) (374,7.0797295570373535) (189,7.055609226226807)
3: (15,7.902464866638184) (167,7.642711639404297) (215,6.49598503112793) (48,6.397059440612793) (11,5.9576263427734375) (168,5.87125301361084) (674,5.823432922363281) (156,5.560224533081055) (139,5.519481658935547) (107,5.508110046386719) (67,5.446143627166748) (363,5.442510604858398)* (113,5.434150218963623) (632,5.42680025100708) (665,5.362923622131348) (162,5.325289726257324) (922,5.285367488861084) (135,5.267645835876465) (142,5.263790130615234) (211,5.246417045593262)
4: (1055,9.370692253112793) (1649,8.434662818908691) (628,8.173081398010254)* (1126,7.991842269897461) (529,7.808160781860352)* (618,7.743395805358887)* (479,7.6661272048950195)* (431,7.653670787811279)* (203,7.62001895904541) (660,7.597904205322266)* (1278,7.5954790115356445) (632,7.593465805053711)* (116,7.427059650421143) (1100,7.262607574462891) (1063,7.26224422454834) (73,7.258869171142578)* (1027,7.233359336853027) (143,7.107808589935303) (344,7.071595191955566) (173,6.98814058303833)*
5: (167,8.105744361877441)* (15,7.799176216125488)* (4,7.500931739807129) (366,7.123068332672119) (215,6.768969535827637) (210,6.6386613845825195) (721,6.550217628479004) (810,6.528670787811279) (1279,6.527715682983398) (226,6.521299839019775) (0,6.497828960418701)* (11,6.453248023986816) (434,6.44566535949707) (324,6.299115180969238) (131,6.290107250213623) (107,6.235720634460449) (67,6.231897354125977) (986,6.14595890045166) (716,6.127913475036621)* (81,6.096404075622559)
6: (81,6.165485382080078) (1279,5.5617780685424805) (1894,5.440197467803955) (4397,5.430513381958008) (778,5.315701961517334)* (345,5.223639488220215) (329,5.09881591796875) (744,5.063179016113281)* (6932,5.048080921173096) (2594,4.885122299194336) (1814,4.881682872772217) (1987,4.795299530029297) (342,4.7206807136535645) (4937,4.633671283721924) (4,4.631841659545898) (434,4.623626232147217) (106,4.546318531036377) (1832,4.54279088973999) (2746,4.536649227142334) (226,4.360611915588379)
7: (1273,9.910587310791016) (136,9.639516830444336)* (87,8.654898643493652) (1187,8.107339859008789) (159,8.077728271484375) (135,8.027924537658691) (106,7.897098541259766)* (1116,7.880094051361084) (324,7.872668266296387) (1172,7.593385219573975) (67,7.590364933013916) (265,7.511343479156494) (1267,7.435611248016357) (1260,7.263593673706055) (915,7.098397731781006)* (404,7.079838752746582) (170,6.991300106048584)* (1061,6.961047649383545) (674,6.932929515838623) (168,6.931095123291016)
8: (1278,7.836306571960449) (130,7.739520072937012) (560,7.3363494873046875)* (106,7.204903602600098) (486,6.853733062744141)* (530,6.7970380783081055)* (1553,6.717563152313232) (520,6.635443210601807) (1276,6.545334815979004) (3266,6.510041236877441) (649,6.435828685760498) (913,6.347968101501465) (559,6.330997467041016) (163,6.325355529785156) (592,6.155714511871338)* (134,6.114138603210449) (538,6.088932037353516)* (139,6.0823140144348145) (519,6.057966232299805)* (528,6.001002311706543)*
9: (1273,6.092970848083496) (907,5.913280487060547) (1062,5.885931015014648) (906,5.7847580909729) (190,5.383924961090088) (185,5.374523639678955)* (519,5.264808177947998) (3381,5.221218109130859) (802,5.14815092086792) (512,5.129185676574707) (560,5.0394062995910645) (1553,4.865381240844727) (528,4.810351371765137) (2761,4.767012596130371) (2069,4.649420738220215) (4236,4.63533353805542) (3265,4.600042343139648) (539,4.5808796882629395) (147,4.5680413246154785) (1280,4.545663833618164)
10: (263,2.3426995277404785) (863,2.2728590965270996) (158,2.267629861831665) (2428,2.195695400238037) (1935,2.1813621520996094) (119,2.1474978923797607) (1117,2.143772602081299) (1116,2.129974603652954) (876,2.100865364074707) (1273,2.096008777618408) (3127,2.080662965774536) (1340,2.034785747528076) (2582,2.0340023040771484) (2244,2.0177056789398193) (2287,1.99892258644104) (2844,1.998501181602478) (834,1.98753821849823) (3024,1.9748528003692627) (315,1.9525675773620605) (6091,1.9467796087265015)
11: (15,8.502065658569336) (106,8.07310676574707) (1187,7.962477684020996)* (875,7.768962860107422)* (419,7.483765125274658) (889,7.403767108917236) (1267,7.400265216827393)* (493,7.341545104980469) (404,7.220859527587891) (394,7.13743257522583)* (116,7.0489501953125) (1273,6.940130710601807)* (67,6.9367170333862305) (11,6.931220054626465) (818,6.904865264892578)* (519,6.871413707733154) (1027,6.851146697998047) (133,6.810917377471924) (164,6.790257453918457) (129,6.7019243240356445)
12: (18,5.725168228149414) (360,5.228797912597656) (2862,5.079033374786377) (11,5.010972023010254) (1246,4.996307849884033) (382,4.9497175216674805) (88,4.860248565673828) (72,4.846808433532715) (952,4.581427097320557) (9,4.4823222160339355) (142,4.458003520965576) (2864,4.4525017738342285) (269,4.431835651397705) (689,4.265536308288574) (17,4.229740619659424) (707,4.219503879547119) (721,4.216355800628662) (248,4.212871551513672) (493,4.155352592468262) (6215,4.081089019775391)
13: (167,9.11398696899414) (632,7.77133321762085)* (101,7.151689529418945) (674,7.047410488128662)* (5,7.004115104675293) (173,6.970724105834961) (385,6.901598930358887) (210,6.8974409103393555) (215,6.896777153015137) (48,6.626911163330078)* (371,6.518758296966553) (222,6.5152587890625)* (113,6.507750034332275) (11,6.42587947845459) (444,6.368200302124023) (0,6.2806010246276855) (922,6.264538764953613) (63,6.261914253234863) (986,6.163947105407715)* (414,6.1427812576293945)
14: (15,2.43873929977417) (167,2.2557921409606934) (185,2.1436476707458496) (139,2.0516397953033447) (366,2.0036144256591797) (159,1.9722836017608643) (48,1.8872300386428833) (215,1.7543306350708008) (1195,1.7475569248199463) (67,1.7458267211914062) (1063,1.7336218357086182) (131,1.7222511768341064) (35,1.7168266773223877) (34,1.7103455066680908) (371,1.7060084342956543) (592,1.7009739875793457) (519,1.6898046731948853) (162,1.6819144487380981) (170,1.6768372058868408) (324,1.6694334745407104)
