userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (1,6.044183731079102)* (2987,4.210235595703125) (593,3.6570963859558105) (364,3.3513450622558594) (318,3.189434289932251) (2059,3.165386438369751) (2081,2.8770604133605957) (1022,2.7475197315216064)* (34,2.6643688678741455) (2085,2.60127329826355) (2096,2.5593197345733643) (1196,2.5411930084228516) (1259,2.4939651489257812) (3751,2.468172073364258) (2687,2.4407339096069336) (2078,2.43009090423584) (2087,2.4062600135803223) (1282,2.3828318119049072) (2080,2.3545684814453125) (1704,2.338297128677368)
2: (2028,3.833282232284546)* (318,3.5755300521850586)* (527,3.5382332801818848) (1250,3.159024238586426) (1704,2.985900402069092) (858,2.805197238922119) (150,2.782454013824463) (608,2.775176525115967) (260,2.7393288612365723) (912,2.6477742195129395) (2571,2.492708206176758)* (1721,2.471053123474121) (1198,2.457070827484131)* (2762,2.407607316970825) (1961,2.385622262954712) (3006,2.3789546489715576) (1221,2.3481197357177734) (1,2.284592866897583) (1408,2.280012607574463) (908,2.258744239807129)
3: (1259,3.8055315017700195)* (2987,3.148449659347534) (1197,2.9397034645080566)* (2918,2.7811059951782227) (260,2.7605276107788086)* (1270,2.611863851547241) (2716,2.4675369262695312) (2797,2.4102816581726074) (2000,2.387083053588867) (1,2.3360753059387207) (1220,2.239626884460449) (3421,2.128246307373047)* (1036,2.118480920791626) (1307,2.0756723880767822) (2804,2.0707099437713623) (1257,2.0514683723449707) (2174,2.0406174659729004) (2406,2.0310988426208496) (2791,1.9971956014633179) (592,1.9895669221878052)
4: (1250,1.5005780458450317) (1193,1.068657636642456) (1252,1.0596791505813599) (3789,0.981640100479126) (858,0.9449903964996338) (1221,0.9179655909538269) (1207,0.8983596563339233) (593,0.8886321187019348) (1276,0.8572329878807068) (923,0.8564872741699219) (1952,0.8510788083076477) (908,0.8310502171516418) (1213,0.8232556581497192) (318,0.8186408281326294) (912,0.7988234758377075) (111,0.7970119714736938) (1248,0.7836130857467651) (1247,0.7608885765075684) (1084,0.7442295551300049) (1208,0.7387090921401978)
5: (3793,1.6006560325622559) (2683,1.3346976041793823) (913,1.254381537437439)* (2355,1.2277196645736694)* (2716,1.2135260105133057) (223,0.9513083100318909) (588,0.9313238859176636) (2997,0.8981384038925171)* (2770,0.8728777170181274)* (2700,0.8712658882141113)* (2605,0.8672159314155579) (3175,0.8415616154670715) (2761,0.8168518543243408) (1248,0.8066532611846924) (785,0.8049464225769043) (3114,0.8044294118881226) (968,0.7957594394683838) (2706,0.7955143451690674) (2394,0.7812131643295288) (2694,0.7679831981658936)
6: (587,3.114645004272461) (2059,2.6489717960357666) (364,2.5503005981445312)* (1721,2.5271565914154053) (597,2.492424964904785)* (2355,2.467149257659912) (914,2.4659218788146973)* (2080,2.3549187183380127) (3798,2.316246271133423) (1022,2.2895455360412598) (356,2.282705068588257) (2424,2.2746236324310303) (899,2.261596202850342) (1947,2.212376117706299)* (2671,2.2112607955932617) (539,2.1990787982940674) (3114,2.1678342819213867) (2724,2.1512293815612793) (2096,2.080237627029419) (3751,2.061526298522949)
7: (2058,5.1813554763793945) (480,4.0243024826049805)* (3793,3.457564353942871) (1370,3.166304588317871) (377,3.0550198554992676) (1580,3.040696859359741)* (780,3.015554904937744) (1608,3.012057304382324) (1036,2.9453840255737305) (593,2.8366456031799316) (1240,2.6243982315063477) (3578,2.565356731414795) (1210,2.510892868041992) (1291,2.501951217651367) (1527,2.4979782104492188) (10,2.4854259490966797) (165,2.474112033843994) (260,2.4604365825653076) (1552,2.4379780292510986) (1198,2.4366397857666016)
8: (589,4.286508560180664)* (593,3.833449363708496) (1249,3.5440351963043213) (318,3.315530300140381) (3006,3.1299548149108887) (590,3.089294910430908) (2336,3.0377631187438965) (2997,3.0336384773254395) (2571,2.9371554851531982)* (1393,2.9339709281921387)* (1183,2.926720142364502) (3418,2.799546718597412) (2058,2.7936511039733887) (2959,2.784393072128296) (1408,2.7735824584960938) (1673,2.7079763412475586)* (296,2.682840585708618)* (608,2.664322853088379)* (3100,2.635504722595215) (3160,2.597608804702759)
9: (2997,6.46859073638916) (589,5.896718978881836) (3793,4.632223606109619)* (296,4.4716081619262695) (1617,4.113990783691406)* (3006,3.764707088470459) (110,3.652172088623047) (2396,3.62534236907959) (3578,3.252042770385742) (1089,3.1478776931762695)* (2599,3.0326364040374756) (1259,2.9799680709838867) (2324,2.9545915126800537)* (1249,2.86561918258667) (34,2.863247871398926) (356,2.8562963008880615) (1196,2.7471044063568115) (2706,2.7304816246032715) (32,2.6862363815307617) (260,2.6523499488830566)
10: (2987,2.58884334564209) (2997,1.5140759944915771)* (2396,0.9146262407302856)* (2858,0.8878239393234253) (2161,0.8492228388786316)* (3793,0.8395322561264038) (2336,0.8193483948707581)* (1967,0.7690243721008301)* (2140,0.7321765422821045)* (2572,0.727820634841919) (2716,0.6934064030647278)* (1259,0.6840576529502869) (2193,0.6707970499992371)* (2683,0.6663421392440796) (2355,0.6656724810600281)* (2174,0.6176518797874451)* (3479,0.5987092852592468) (2054,0.5968050956726074)* (1959,0.5958204865455627)* (2690,0.5934767723083496)
11: (223,4.311217784881592) (1,3.930722236633301) (296,3.5424985885620117) (1259,3.4993019104003906) (1060,3.4849770069122314) (2599,3.2963550090789795) (2395,3.2853503227233887) (1517,3.249762773513794) (2706,3.205172061920166) (1265,3.2021403312683105) (50,3.1152853965759277)* (2700,3.1118907928466797) (3253,2.9943976402282715) (1257,2.9221420288085938) (2324,2.7291507720947266) (2502,2.7271652221679688) (3052,2.6322154998779297) (441,2.6307053565979004) (1968,2.6076085567474365) (3421,2.5806517601013184)
