userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (1,10.045759201049805)* (318,6.6315999031066895) (364,6.468421936035156) (593,6.187643051147461) (2987,5.692460536956787) (34,5.580101490020752) (2081,5.215635299682617) (1196,5.170337677001953) (1198,4.927821159362793) (1704,4.8776655197143555) (1022,4.738824844360352)* (589,4.708164691925049) (2085,4.643235206604004) (1225,4.5742950439453125) (2761,4.502077579498291) (3751,4.476326942443848) (2687,4.436985015869141) (2078,4.415338039398193) (2096,4.3592963218688965) (1210,4.35758113861084)
2: (2028,7.812654495239258)* (318,7.325313568115234)* (527,6.946942329406738) (1704,6.142705917358398) (260,5.905035495758057) (858,5.840928077697754) (2571,5.5830278396606445)* (608,5.523767948150635) (150,5.473276138305664) (1198,5.404839038848877)* (912,4.995492935180664) (1221,4.865028381347656) (296,4.790142059326172) (1213,4.722416400909424) (1580,4.6121721267700195) (1961,4.599239349365234) (3418,4.542280197143555)* (2762,4.470767498016357) (1250,4.430021286010742) (1242,4.2919721603393555)
3: (1259,6.6102681159973145)* (1197,6.609651565551758)* (260,6.115676403045654)* (2918,6.05472469329834) (1270,5.482742786407471) (2797,5.4153828620910645) (2716,5.152166366577148) (2987,5.036420822143555) (1220,4.81304931640625) (2804,4.715726852416992) (2174,4.614211082458496) (2000,4.58570671081543) (1307,4.491707801818848) (3421,4.441057205200195)* (2028,4.370476722717285) (110,4.311121940612793) (1036,4.299607276916504) (2406,4.196498870849609) (1073,4.135590553283691) (2791,4.080540657043457)
4: (1250,2.0917229652404785) (1193,1.8864543437957764) (1207,1.77574622631073) (1276,1.699424386024475) (923,1.6599481105804443) (858,1.6176173686981201) (318,1.6162147521972656) (1952,1.5981676578521729) (1221,1.5943331718444824) (1213,1.5181593894958496) (912,1.5156785249710083) (593,1.497368574142456) (908,1.434725046157837) (1252,1.4288591146469116) (111,1.4173088073730469) (1247,1.4125056266784668) (1084,1.39875066280365) (1945,1.3564404249191284) (1208,1.3525280952453613) (1228,1.3191877603530884)
5: (2716,2.5456480979919434) (913,2.1922359466552734)* (2355,1.9968898296356201)* (2683,1.9861901998519897) (3175,1.6941717863082886) (3114,1.690772533416748) (223,1.5907325744628906) (2997,1.5815870761871338)* (588,1.5810635089874268) (2700,1.518787145614624)* (1127,1.484506368637085) (2770,1.432852864265442)* (1291,1.4328209161758423) (2706,1.3339897394180298) (1,1.3221068382263184) (2396,1.320425271987915) (1210,1.3032665252685547) (1198,1.2882380485534668) (2761,1.2872631549835205) (2394,1.2778794765472412)
6: (356,4.514801979064941) (1721,4.505596160888672) (364,4.485864639282227)* (914,4.394489765167236)* (899,4.1970109939575195) (597,4.184487819671631)* (2080,4.179657459259033) (1947,4.148282051086426)* (587,4.081632614135742) (2355,4.065860748291016) (2671,3.8765668869018555) (1022,3.872840404510498) (3114,3.8642945289611816) (2424,3.803823471069336) (110,3.795283317565918) (539,3.763784885406494) (3512,3.684431552886963) (3578,3.645139217376709)* (3751,3.5570569038391113) (2096,3.530287742614746)
7: (480,7.627018928527832)* (2058,6.653077602386475) (1036,6.084607124328613) (1370,5.990818977355957) (377,5.9841108322143555) (1580,5.972951889038086)* (1608,5.562127113342285) (780,5.455388069152832) (1240,5.289933204650879) (1198,5.272965908050537) (260,5.09507417678833) (1210,5.079483509063721) (1291,5.0572404861450195) (593,4.826470375061035) (2628,4.627444267272949) (10,4.572986602783203) (1527,4.54808235168457) (165,4.52700138092041) (3578,4.488746166229248) (1196,4.4402899742126465)*
8: (589,6.865047454833984)* (318,6.513492584228516) (590,6.2929511070251465) (593,6.2735595703125) (2571,6.116950988769531)* (296,5.699913024902344)* (3418,5.6975908279418945) (1393,5.57766056060791)* (1408,5.577250957489014) (2336,5.550905704498291) (1183,5.463779449462891) (1213,5.33968448638916)* (1673,5.2571001052856445)* (608,5.103787899017334)* (2959,5.028087615966797) (3100,4.993678569793701) (3252,4.928457736968994) (2324,4.922236919403076) (32,4.87985897064209) (2268,4.86146354675293)
9: (296,9.377483367919922) (2997,9.087380409240723) (589,8.923861503601074) (1617,8.317811965942383)* (2396,7.1194071769714355) (110,7.117526054382324) (1089,6.374859809875488)* (34,6.0576019287109375) (2324,5.944206237792969)* (3006,5.936401844024658) (356,5.918719291687012) (3578,5.785722732543945) (1196,5.707989692687988) (3793,5.611486434936523)* (260,5.59002685546875) (2599,5.563907623291016) (32,5.440321922302246) (150,5.383615016937256) (1197,5.123884677886963) (1259,4.954777240753174)
10: (2987,2.934661388397217) (2997,2.058183431625366)* (2858,1.8813810348510742) (2161,1.763831377029419)* (2396,1.7237334251403809)* (1259,1.616411566734314) (1967,1.5940271615982056)* (2193,1.532618761062622)* (2336,1.4666707515716553)* (2572,1.4041980504989624) (2140,1.4018584489822388)* (2174,1.4004559516906738)* (2716,1.37099289894104)* (2005,1.275496482849121)* (1197,1.273874282836914)* (3479,1.2195338010787964) (2723,1.1558330059051514) (1073,1.1511902809143066)* (2143,1.1462585926055908) (2355,1.1245241165161133)*
11: (296,7.358831882476807) (223,7.063833236694336) (1265,6.619848728179932) (1060,6.564053058624268) (50,6.4603271484375)* (1517,6.147627353668213) (1,6.014096260070801) (2324,5.674467086791992) (3253,5.646090030670166) (1259,5.631110668182373) (2599,5.582756996154785) (2706,5.460257530212402) (2395,5.419271945953369) (2028,5.335040092468262) (3421,5.326373100280762) (1968,5.308725833892822) (2700,5.300922393798828) (527,5.256798267364502) (1617,4.942965030670166) (1197,4.878525733947754)*
