userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (265,9.847599983215332) (67,9.49925422668457)* (215,9.421445846557617) (48,9.268279075622559)* (823,9.26030445098877) (560,9.235068321228027) (674,9.155762672424316) (279,9.085166931152344) (115,9.078450202941895)* (173,9.049666404724121)* (324,9.003421783447266) (107,9.000052452087402)* (276,8.917013168334961) (69,8.874384880065918)* (371,8.805909156799316) (592,8.80559253692627) (670,8.79345703125) (130,8.768367767333984)* (512,8.711374282836914) (686,8.635701179504395)
1: (159,6.307186126708984) (167,6.235485553741455) (131,5.6645827293396) (312,5.654758930206299) (67,5.652381896972656) (48,5.625245094299316) (265,5.623879432678223) (81,5.61557674407959) (674,5.6008806228637695) (72,5.581661224365234) (142,5.576903343200684) (170,5.5729169845581055) (169,5.5323710441589355) (113,5.529673099517822) (823,5.50545597076416) (135,5.504486560821533) (18,5.431456565856934) (669,5.424628734588623) (107,5.4190850257873535) (324,5.40057373046875)
2: (9,10.902181625366211)* (13,10.701532363891602)* (72,10.572687149047852)* (135,10.343235969543457)* (189,10.156209945678711) (670,10.069808959960938) (374,9.947076797485352) (823,9.889852523803711) (674,9.807733535766602) (276,9.798664093017578)* (661,9.772706985473633) (53,9.765331268310547)* (170,9.658639907836914)* (15098,9.648720741271973) (922,9.607949256896973) (262,9.551213264465332)* (439,9.516335487365723) (86,9.50461196899414)* (1831,9.387012481689453) (158,9.334893226623535)
3: (15,8.332589149475098) (167,7.193943977355957) (674,6.87455415725708) (215,6.8722381591796875) (48,6.671535015106201) (67,6.510503768920898) (11,6.431926727294922) (823,6.427009105682373) (107,6.405277729034424) (113,6.384963512420654) (168,6.382525444030762) (312,6.377554416656494) (4,6.359527111053467) (298,6.298198223114014) (922,6.250874996185303) (265,6.231046676635742) (35,6.223095893859863)* (115,6.162402153015137) (142,6.145708084106445) (669,6.1078901290893555)
4: (0,1.4811159372329712) (4,1.3594378232955933)* (5,0.8101329803466797)* (8,0.7975098490715027)* (6,0.7905287742614746)* (15,0.7892118692398071)* (147,0.7730604410171509)* (434,0.7642780542373657)* (161,0.7589787244796753) (167,0.7480367422103882)* (342,0.7467578053474426) (159,0.7423675060272217)* (1279,0.7413753271102905) (560,0.7386060357093811)* (81,0.7196688652038574) (1336,0.719209611415863) (398,0.7182791233062744)* (986,0.7169798612594604) (345,0.7165597677230835) (364,0.7163426876068115)
5: (4,9.818042755126953) (131,8.206487655639648) (215,8.0247802734375) (48,7.9898271560668945)* (130,7.9283223152160645) (67,7.866255283355713) (366,7.847010135650635) (222,7.846525192260742) (81,7.711062431335449) (342,7.57778787612915)* (11,7.576718807220459) (107,7.540353775024414) (169,7.532255172729492) (298,7.523581027984619) (324,7.511618614196777) (434,7.483556747436523) (312,7.457403182983398) (1336,7.453336715698242) (226,7.394272327423096) (560,7.381890296936035)
6: (4,9.389724731445312) (434,8.747124671936035) (3543,8.546870231628418) (2594,8.378049850463867) (592,8.206134796142578) (1894,8.160327911376953) (3310,8.138082504272461) (329,8.00322151184082) (2077,7.968888282775879) (342,7.951574325561523) (67,7.8032546043396) (1987,7.777848720550537) (8815,7.754369735717773) (1814,7.752162456512451) (1279,7.745220184326172) (106,7.731639862060547) (159,7.684399127960205) (4397,7.604551315307617) (185,7.600801467895508) (625,7.50426721572876)
7: (159,10.084075927734375) (87,9.687511444091797) (185,9.58627986907959) (164,9.494915008544922)* (1273,9.470949172973633) (686,9.334400177001953) (1063,9.244327545166016) (1172,9.146967887878418) (1224,9.119539260864258) (520,9.085397720336914)* (265,9.068087577819824) (67,9.059825897216797) (371,9.051101684570312)* (674,8.998540878295898) (324,8.976364135742188) (419,8.965860366821289)* (1040,8.952373504638672) (1116,8.949189186096191) (1717,8.813324928283691) (147,8.811342239379883)
8: (0,1.4810996055603027) (4,1.359438419342041)* (5,0.8101434707641602) (8,0.797514021396637) (6,0.7905367612838745) (15,0.7892171740531921)* (147,0.7730663418769836)* (434,0.7642829418182373) (161,0.7589816451072693) (167,0.7480458617210388) (342,0.7467614412307739) (159,0.7423776388168335)* (1279,0.7413796186447144) (560,0.7386130094528198)* (81,0.7196745872497559) (1336,0.7192150354385376) (398,0.7182855606079102)* (986,0.716982364654541)* (345,0.7165647745132446) (364,0.7163500189781189)*
9: (802,9.268991470336914) (1273,8.848186492919922) (512,8.69900894165039) (519,8.67283821105957) (907,8.565868377685547) (2096,8.563753128051758) (2,8.431929588317871) (625,8.416999816894531) (1063,8.39462947845459)* (1062,8.309460639953613) (1553,8.245229721069336) (2997,8.143068313598633) (136,8.045503616333008) (560,8.03723430633545) (906,8.005605697631836) (555,7.986447811126709) (540,7.957328796386719) (190,7.936829090118408) (806,7.900660037994385) (192,7.8483567237854)
10: (823,5.757230281829834) (215,5.736288547515869) (9,5.590740203857422) (2,5.405282974243164) (174,5.363546371459961) (159,5.275862693786621) (13,5.137587547302246) (131,5.100339889526367) (82,5.058098316192627) (1273,5.030079364776611) (1192,5.025491714477539) (354,5.021438121795654) (371,4.972125053405762) (674,4.968420028686523) (14,4.95045280456543) (327,4.942264556884766) (670,4.9368133544921875) (167,4.932642936706543) (2220,4.898939609527588) (922,4.885305404663086)
