userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (48,7.365416526794434)* (265,7.360276222229004) (67,7.266369819641113)* (276,7.029028415679932) (215,6.70261812210083) (173,6.516787528991699)* (279,6.484038352966309) (13,6.454805374145508)* (107,6.419512748718262)* (674,6.399425029754639) (262,6.393319129943848) (324,6.333438396453857) (115,5.958998680114746)* (371,5.950071334838867) (300,5.938168525695801) (632,5.914044380187988) (440,5.664477348327637) (560,5.579702377319336) (82,5.53973388671875)* (8,5.510591506958008)*
1: (167,5.211215019226074) (48,4.509291648864746) (159,4.460780143737793) (67,4.169929504394531) (18,4.11988639831543) (324,4.090071678161621) (107,4.088787078857422) (142,4.071536540985107) (113,4.008464813232422) (5,3.9001224040985107) (170,3.889549732208252) (54,3.8833045959472656)* (101,3.8634204864501953) (8,3.8634135723114014) (135,3.8518147468566895) (173,3.816296100616455) (674,3.8084936141967773) (13,3.797091484069824) (276,3.767836093902588) (81,3.7639079093933105)
2: (13,10.837736129760742)* (9,10.802103042602539)* (276,9.000307083129883)* (135,8.462148666381836)* (53,7.696870803833008)* (2,7.645541667938232)* (270,7.597254753112793)* (661,7.290204048156738) (72,7.2859039306640625)* (262,7.26481294631958)* (170,7.213506698608398)* (674,7.160874843597412) (1831,6.855489730834961) (670,6.797147750854492) (35,6.763937950134277)* (15098,6.7368364334106445) (63,6.6491899490356445) (50,6.538032531738281)* (922,6.451859951019287) (3445,6.445131301879883)
3: (15,8.273589134216309) (4,7.524511337280273) (167,6.1140899658203125) (48,5.620674133300781) (5,5.441652297973633) (215,5.265902042388916) (11,5.196867942810059) (674,5.185308456420898) (107,5.079294681549072) (67,4.947142601013184) (168,4.941493034362793) (9,4.808016300201416) (35,4.8015666007995605)* (632,4.731141090393066) (113,4.6923298835754395) (63,4.614065170288086) (922,4.45463228225708) (54,4.425934791564941) (156,4.362147331237793) (135,4.361382484436035)
4: (0,2.4213597774505615) (4,1.8122291564941406)* (5,1.3051635026931763)* (1,1.287712812423706) (6,1.0955554246902466)* (8,1.018242597579956)* (632,0.8714431524276733)* (167,0.834204912185669)* (139,0.8171325922012329)* (203,0.7968333959579468) (15,0.7906396985054016)* (324,0.7799923419952393)* (1279,0.7644011974334717) (222,0.7543936967849731) (161,0.7524846196174622) (716,0.7406576871871948) (986,0.7400461435317993) (344,0.7351436018943787) (440,0.7228149175643921)* (205,0.7078381180763245)
5: (4,11.360380172729492) (2,7.266849517822266) (11,6.946685314178467) (215,6.478124141693115) (48,6.476516246795654)* (366,6.220256328582764) (721,6.1435627937316895) (107,6.004270076751709) (67,5.995525360107422) (9,5.981281280517578) (324,5.936788558959961) (210,5.921382904052734) (131,5.8175249099731445) (81,5.787760257720947) (986,5.6994404792785645) (364,5.646196365356445) (5,5.6211042404174805) (226,5.606986045837402) (18,5.561809539794922) (717,5.528476715087891)*
6: (4,8.637871742248535) (9,5.439237594604492) (8829,4.738909721374512) (47,4.686848163604736)* (2594,4.6051836013793945) (1279,4.579358100891113) (1832,4.475488662719727) (81,4.47057580947876) (434,4.353610992431641) (329,4.327536582946777) (106,4.320306777954102) (721,4.239281177520752)* (1894,4.210039138793945) (941,4.188229560852051) (342,4.187348365783691) (4397,4.140789031982422) (4903,4.125422477722168) (67,4.117819786071777) (345,3.985133647918701) (1987,3.962972402572632)
7: (0,8.842869758605957) (87,7.829771041870117) (1273,7.768620491027832) (159,7.179615020751953) (419,6.965640068054199)* (67,6.880840301513672) (324,6.500467300415039) (135,6.427542209625244) (1172,6.4070892333984375) (95,6.384637832641602)* (674,6.318172454833984) (371,6.243762969970703)* (113,6.233898162841797) (168,6.186070919036865) (520,6.115020275115967)* (265,6.045155048370361) (1187,6.043014049530029) (11,5.910697937011719) (553,5.860194683074951) (632,5.858779430389404)
8: (0,2.4213454723358154) (4,1.8122458457946777)* (5,1.3051695823669434) (1,1.2877106666564941) (6,1.09555983543396) (8,1.0182439088821411) (632,0.8714492321014404)* (167,0.8342093229293823) (139,0.8171348571777344) (203,0.7968357801437378) (15,0.7906312346458435)* (324,0.7799973487854004) (1279,0.7644045352935791) (222,0.7543913125991821) (161,0.7524853944778442) (716,0.7406561374664307) (986,0.7400442361831665)* (344,0.7351447939872742) (440,0.7228208780288696) (205,0.7078374624252319)*
9: (1273,5.040682792663574) (802,4.997368812561035) (2,4.63924503326416) (907,4.558077335357666) (1062,4.490050315856934) (512,4.470741271972656) (519,4.4053521156311035) (136,4.399644374847412) (190,4.362273216247559) (2096,4.322872161865234) (906,4.250823020935059) (560,4.229321002960205) (3381,4.22672176361084) (192,4.117291450500488) (540,4.02853536605835) (1314,4.012333869934082) (528,3.9714674949645996) (3008,3.9565012454986572) (910,3.8776676654815674)* (4236,3.868823289871216)
10: (13,2.4076476097106934) (1273,2.2404325008392334) (1192,2.227555513381958) (14,2.197190046310425) (3024,2.093221664428711) (240,2.0750670433044434) (3,2.0376808643341064) (1117,2.025900363922119) (2934,2.0146539211273193) (2175,2.005995750427246) (215,1.9945299625396729) (2850,1.9827165603637695) (174,1.9720290899276733) (1918,1.9465402364730835) (863,1.9293030500411987) (82,1.9090921878814697) (2220,1.8901045322418213) (327,1.8861325979232788) (906,1.877425193786621) (876,1.8589683771133423)
11: (0,8.46493911743164)* (15,7.591351509094238) (106,7.499294757843018) (11,7.048365592956543) (116,6.688338279724121) (512,6.685284614562988)* (419,6.638301849365234) (520,6.635602951049805)* (1061,6.425085067749023)* (94,6.388650894165039)* (493,6.328732967376709) (818,6.300057888031006)* (170,6.285987377166748) (889,6.264455318450928) (265,6.2485246658325195)* (519,6.112651348114014) (2066,6.107573509216309) (1027,6.056723594665527) (18,6.015341758728027) (1278,6.013908386230469)*
12: (18,6.06037712097168) (11,5.043293476104736) (689,4.951283931732178) (952,4.759153366088867) (3,4.670236587524414) (2862,4.358180522918701) (360,4.331679344177246) (9,4.1863555908203125) (1228,4.07321834564209) (1246,4.055394172668457) (820,4.039271354675293) (186,4.020628929138184) (3862,3.976046562194824) (72,3.9323270320892334) (215,3.8978168964385986) (48,3.7570953369140625) (1856,3.7524936199188232) (721,3.7047929763793945) (343,3.69731068611145) (2899,3.6546666622161865)
13: (0,2.4213004112243652) (4,1.812130093574524) (5,1.3050923347473145) (1,1.2876524925231934) (6,1.0954906940460205)* (8,1.0181994438171387)* (632,0.8713850975036621)* (167,0.834126353263855) (139,0.817077100276947)* (203,0.7967917919158936)* (15,0.7905565500259399)* (324,0.7799328565597534)* (1279,0.7643540501594543) (222,0.7543448209762573)* (161,0.7524377703666687)* (716,0.7406158447265625)* (986,0.7400085926055908)* (344,0.7351076602935791) (440,0.7227693796157837)* (205,0.7078083753585815)*
14: (4,1.3435616493225098) (559,1.03215754032135) (15,1.0083303451538086) (74,1.00211763381958) (399,0.9355001449584961) (44,0.9120471477508545)* (148,0.9029260873794556) (899,0.900162935256958) (7285,0.8506861925125122) (1914,0.8496702909469604) (625,0.8021792769432068) (185,0.7973963022232056) (1224,0.7800558805465698) (1210,0.7751418352127075) (453,0.7656772136688232) (265,0.755477249622345) (337,0.7552555799484253) (99,0.7457083463668823) (133,0.7383823394775391) (1396,0.7372747659683228)
15: (1046,10.37912368774414)* (60,9.86500358581543)* (522,9.702878952026367) (399,9.565560340881348) (1510,9.384381294250488)* (4044,8.768471717834473) (1239,8.706777572631836)* (460,8.517144203186035)* (124,8.484152793884277) (143,8.221328735351562) (970,8.208606719970703)* (698,8.144266128540039) (193,8.123937606811523)* (580,8.09920883178711)* (496,8.07470989227295)* (400,8.064373970031738) (336,8.051774978637695) (44,8.044260025024414)* (1601,8.043649673461914)* (5495,8.02318286895752)
16: (4530,4.252304553985596) (1602,3.845322847366333) (4008,3.8283839225769043) (2656,3.652129650115967) (12123,3.615537405014038) (896,3.4924027919769287) (2899,3.2512118816375732) (1915,3.2483928203582764) (9287,3.137918710708618) (11822,3.082883834838867) (2451,3.0640668869018555) (22168,3.051835298538208) (22167,3.051835298538208) (8371,3.033144950866699) (3374,2.986222982406616) (547,2.921339273452759) (87,2.9143667221069336) (4362,2.896421432495117) (5806,2.8098361492156982) (3757,2.806431770324707)
17: (0,14.736251831054688) (81,10.685132026672363)* (404,10.124727249145508)* (147,9.644657135009766)* (1260,9.135087966918945) (419,9.064440727233887) (889,8.677370071411133) (87,7.921859264373779)* (67,7.896670341491699) (854,7.795797824859619) (983,7.7608723640441895) (1063,7.643634796142578)* (51,7.642644882202148) (688,7.6006975173950195) (625,7.535304069519043)* (1860,7.499786376953125)* (139,7.455081462860107)* (990,7.381753921508789) (85,7.364295959472656) (673,7.358835697174072)
18: (81,9.836315155029297)* (67,8.620691299438477)* (135,8.438618659973145) (136,8.326290130615234) (7,8.18230152130127) (1,7.886911392211914) (48,7.877329349517822) (169,7.597241401672363) (34,7.482365131378174)* (669,7.478015422821045) (363,7.470768451690674) (404,7.469890117645264) (17,7.40047550201416)* (107,7.29714298248291)* (371,7.2831597328186035) (101,7.135023593902588)* (71,7.064736843109131) (1336,7.064226150512695) (520,7.053228378295898) (366,7.035336494445801)*
19: (103,9.003946304321289) (355,7.962339878082275) (274,7.790482521057129) (6541,7.692176342010498) (7339,7.517986297607422) (6091,7.409982681274414) (848,7.404045104980469)* (2844,7.184938430786133) (6546,7.0455169677734375) (4797,7.0208282470703125) (15098,7.0151190757751465) (6332,6.905575752258301) (1173,6.897639274597168) (15,6.817021369934082) (54,6.7145843505859375) (863,6.692546844482422)* (168,6.687755107879639)* (315,6.630923271179199) (2726,6.599240779876709) (895,6.591104984283447)
20: (4,11.555611610412598) (0,6.728403091430664) (2,6.705417633056641) (48,5.720530986785889) (345,5.562558650970459)* (167,5.483939170837402) (1,5.430422782897949) (136,5.214430332183838) (5,5.143634796142578) (366,4.96626091003418) (131,4.868491172790527) (161,4.783519744873047) (210,4.556941032409668) (222,4.5547590255737305) (1814,4.449126243591309)* (215,4.327227592468262) (298,4.28611946105957) (324,4.260251045227051) (107,4.249436378479004) (674,4.221334457397461)
21: (87,2.2520689964294434) (11,2.1669487953186035) (18,2.16525936126709) (81,2.0886805057525635) (88,2.0347843170166016) (15,1.9902652502059937) (1061,1.916152000427246) (964,1.8828825950622559) (85,1.875549554824829) (9,1.8753676414489746) (123,1.8411130905151367) (252,1.8009614944458008) (16,1.7705121040344238) (94,1.767031192779541) (990,1.7461057901382446) (820,1.7286808490753174) (889,1.6950709819793701) (425,1.6900277137756348) (1228,1.6892199516296387) (661,1.6798148155212402)
22: (15,1.7546530961990356) (4,1.622854232788086) (48,1.3466815948486328) (167,1.245827317237854) (107,1.1461503505706787) (215,1.1295123100280762) (67,1.123937964439392) (159,1.1040714979171753) (674,1.089193344116211) (113,1.0797791481018066) (131,1.0783863067626953) (2,1.0678207874298096) (11,1.0585061311721802) (9,1.0288560390472412) (324,1.0177950859069824) (13,1.014662265777588) (168,0.9989193677902222) (170,0.9805614948272705) (101,0.9683501720428467) (366,0.9545246362686157)
23: (4,1.6931030750274658) (0,1.190736174583435) (8,0.9945787787437439) (1,0.8979214429855347) (51,0.8027880191802979) (54,0.7708462476730347) (716,0.7543340921401978) (176,0.7470024824142456) (1279,0.7289496660232544) (61,0.7231643795967102) (342,0.7186176180839539) (161,0.6893178224563599) (110,0.6805191040039062) (2,0.6747289896011353) (719,0.6628615856170654) (1832,0.6528599262237549) (11,0.6288266181945801) (373,0.6242542266845703) (1860,0.6222100257873535) (2077,0.6217589378356934)
24: (9,11.354852676391602) (16,9.68802547454834) (174,9.073127746582031) (89,8.85714340209961) (276,8.360774993896484)* (135,8.03756046295166)* (387,8.024799346923828) (10,7.9468278884887695) (870,7.886086940765381)* (337,7.876090049743652) (670,7.679842948913574) (123,7.637290954589844) (86,7.550069808959961) (189,7.54130744934082) (84,7.521991729736328)* (1022,7.448340892791748) (103,7.389291763305664)* (686,7.359771728515625) (2147,7.245004177093506) (129,7.211276054382324)*
25: (0,11.986772537231445) (15,6.264165878295898) (4,6.093386650085449) (11,5.5143280029296875) (721,5.111063480377197) (215,5.0542826652526855) (2,4.910964488983154) (9,4.86934757232666) (48,4.732377052307129) (324,4.64235258102417) (8,4.572793006896973) (107,4.465102195739746) (366,4.459717273712158) (162,4.405559539794922) (674,4.379435062408447) (717,4.3286356925964355) (364,4.298137187957764) (63,4.214636325836182) (113,4.1317949295043945) (1336,4.10526180267334)
26: (185,4.38649320602417) (2779,4.308258056640625) (592,4.21607780456543) (3280,4.093138217926025) (2997,4.090547561645508) (932,4.088866710662842) (575,4.058162689208984) (560,3.9868502616882324) (190,3.888659715652466) (2096,3.8855268955230713) (2956,3.850633144378662) (2137,3.828789710998535)* (20688,3.7506208419799805) (493,3.7196247577667236) (862,3.629899501800537) (1116,3.5960707664489746) (642,3.568110466003418) (2069,3.5514135360717773)* (200,3.4588754177093506) (1100,3.3888206481933594)
27: (0,1.784621238708496) (4,1.2167025804519653) (2,1.0355403423309326) (265,0.9009512662887573)* (15,0.8758059740066528)* (135,0.8587154150009155)* (137,0.8580167293548584)* (73,0.8406109809875488) (53,0.8404890298843384)* (170,0.8220055103302002) (35,0.8024206757545471)* (139,0.8003526926040649) (5,0.7843502759933472) (276,0.7839836478233337)* (632,0.7320659160614014)* (8,0.7187566757202148) (79,0.7171315550804138) (173,0.7160475254058838) (169,0.7159209847450256) (90,0.7153508067131042)*
28: (0,9.936700820922852) (4,5.708232879638672) (9,5.628689765930176) (167,5.511160850524902) (81,5.048959732055664) (364,4.737152099609375) (215,4.5267486572265625) (18,4.501552104949951) (721,4.498407363891602) (2,4.411280155181885) (324,4.374645233154297) (159,4.358604431152344) (71,4.26749324798584) (67,4.120154857635498) (48,4.112031936645508) (139,4.100514888763428) (170,4.080080986022949) (226,4.074615478515625) (94,4.048088550567627) (440,4.039010047912598)
29: (11,1.5818527936935425) (0,1.5068485736846924) (15,1.2374987602233887) (18,1.1684730052947998) (4,1.031585693359375) (215,0.9779360294342041) (17,0.9130386710166931) (13,0.8886685371398926)* (168,0.8799343705177307) (167,0.8644601702690125)* (54,0.8441437482833862) (661,0.837430477142334)* (142,0.8215228319168091) (123,0.8154627680778503) (721,0.8074305653572083) (81,0.7909461259841919) (115,0.7888362407684326) (67,0.7852627038955688) (211,0.7740684151649475) (113,0.7634136080741882)
30: (3307,6.952287673950195) (95,6.870292663574219) (855,6.6606903076171875) (2055,6.611056327819824) (707,6.50801944732666) (498,6.440608501434326) (2066,6.412847518920898) (102,6.315968036651611) (2828,6.149994373321533) (889,6.132511138916016) (697,6.087455749511719) (2616,6.045437812805176) (134,5.9833269119262695) (1215,5.982369422912598) (898,5.945958614349365) (746,5.873472213745117)* (94,5.856400012969971) (1260,5.823345184326172)* (1190,5.805642604827881) (207,5.754714012145996)
31: (4,4.301791667938232) (0,2.3152592182159424) (15,2.237548589706421) (48,1.9020631313323975) (434,1.810182809829712) (167,1.7759617567062378) (345,1.7513185739517212) (2,1.7441893815994263) (8,1.7128678560256958) (329,1.642382264137268) (11,1.6410231590270996) (67,1.5741465091705322)* (215,1.5709155797958374) (342,1.530302882194519) (1814,1.4468955993652344) (131,1.4423401355743408) (366,1.4401127099990845) (159,1.425622820854187) (9,1.414823293685913) (312,1.3849074840545654)
32: (640,7.133305549621582) (2137,6.955316066741943) (625,6.840753555297852) (592,6.640645980834961) (618,6.338997840881348) (806,6.29954719543457) (2814,6.121162414550781) (628,5.887123107910156) (649,5.885025501251221) (942,5.832714080810547) (2609,5.801516532897949) (2143,5.778872489929199) (2134,5.667003631591797) (2120,5.664750099182129) (642,5.625876426696777) (3114,5.575563430786133) (1093,5.512994766235352) (1088,5.507185935974121) (1095,5.453765869140625) (1098,5.402292728424072)
