userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
0: (15,10.362085342407227)* (48,9.965320587158203)* (169,9.650407791137695)* (265,9.546226501464844) (53,9.46281623840332)* (136,9.405160903930664)* (324,9.30569076538086) (823,9.236236572265625) (215,9.141225814819336) (107,9.060171127319336)* (560,8.96517562866211) (276,8.934389114379883) (11,8.933578491210938)* (170,8.907422065734863)* (674,8.84797191619873) (1187,8.79801082611084) (279,8.77631950378418) (632,8.71917724609375) (364,8.67740249633789) (300,8.675310134887695)
1: (167,7.221712589263916) (159,7.038676738739014) (48,6.952185153961182) (215,6.603424549102783)* (364,6.466646671295166) (312,6.433058738708496) (142,6.363318920135498) (81,6.314187049865723) (169,6.296209812164307) (298,6.26645565032959) (17,6.261293888092041) (1281,6.228631973266602) (324,6.225746154785156) (67,6.189761161804199) (669,6.115152835845947) (265,6.09853458404541) (170,6.0553131103515625) (237,6.048797130584717) (810,6.022157669067383) (168,6.019993782043457)*
2: (113,10.003669738769531)* (189,9.83088493347168) (10,9.735174179077148)* (11,9.688106536865234)* (374,9.466480255126953) (661,9.460205078125) (90,9.433706283569336)* (823,9.416535377502441) (274,9.39236831665039)* (4952,9.370866775512695) (262,9.337072372436523)* (670,9.264677047729492) (340,9.244279861450195)* (922,9.17186164855957) (131,9.151676177978516)* (2187,9.123425483703613) (439,9.108144760131836) (15098,9.05810832977295) (3448,9.035653114318848) (1812,8.973194122314453)
3: (15,7.282858848571777) (167,7.248401641845703) (48,7.185425758361816) (215,6.737571716308594) (674,6.470887184143066) (107,6.4697585105896) (823,6.428887844085693) (312,6.406772613525391) (922,6.374848365783691) (67,6.370170593261719) (4,6.359781265258789) (11,6.358546257019043) (113,6.323463439941406) (298,6.245941162109375) (168,6.222149848937988) (142,6.221088886260986) (1281,6.17070198059082) (81,6.153620719909668) (632,6.149628639221191) (63,6.142242431640625)
4: (1055,12.183101654052734) (628,11.893669128417969)* (1649,11.703903198242188) (1278,11.65225601196289) (431,11.520936965942383)* (116,11.458056449890137) (1063,10.991106986999512) (660,10.977400779724121)* (1027,10.7027006149292) (913,10.595199584960938) (1126,10.504655838012695) (1619,10.374176025390625) (1569,10.373461723327637) (774,10.34567928314209) (529,10.341224670410156)* (1100,10.289636611938477) (143,10.268340110778809) (1553,10.238713264465332) (4044,10.223711013793945) (618,10.218271255493164)*
5: (167,8.628133773803711)* (15,8.554152488708496)* (4,8.420717239379883) (366,7.941257953643799) (169,7.812998294830322) (215,7.799177169799805) (81,7.7727203369140625) (298,7.763328552246094) (131,7.760418891906738) (67,7.737632751464844) (107,7.676854133605957) (312,7.669437408447266) (130,7.650690078735352) (560,7.6320953369140625) (810,7.619929313659668) (434,7.469120025634766) (210,7.451537132263184) (324,7.447667121887207) (986,7.415444374084473) (0,7.3915581703186035)*
6: (4,9.645885467529297) (1180,9.557656288146973) (1814,9.522176742553711) (1279,9.520008087158203) (592,9.442370414733887) (48,9.423224449157715)* (345,9.390893936157227) (342,9.326214790344238) (2594,9.303749084472656) (1894,9.145004272460938) (136,9.110471725463867) (4397,9.098814964294434) (185,9.082103729248047) (1987,9.018449783325195) (744,8.974841117858887)* (434,8.95393180847168) (15,8.946439743041992) (81,8.894351959228516) (329,8.832796096801758) (3310,8.823487281799316)
7: (1273,11.018526077270508) (136,10.819408416748047)* (106,10.178902626037598)* (159,10.164438247680664) (87,10.025476455688477) (185,9.946475982666016) (1116,9.861663818359375) (2069,9.748476028442383) (1187,9.657358169555664) (1172,9.558349609375) (686,9.530656814575195) (1267,9.498395919799805) (1062,9.448790550231934) (404,9.40670394897461) (1040,9.40203857421875) (20672,9.305389404296875) (169,9.230120658874512) (92,9.157740592956543) (88,9.122321128845215) (186,9.118413925170898)
8: (106,10.362820625305176) (560,10.232582092285156)* (130,10.174348831176758) (1278,9.981419563293457) (1553,9.935537338256836) (592,9.83653450012207)* (520,9.742976188659668) (15,9.5838623046875)* (913,9.457664489746094) (707,9.201919555664062) (163,9.196725845336914) (649,9.192960739135742) (167,9.166683197021484) (519,9.106693267822266)* (540,9.077991485595703) (486,8.95722484588623)* (576,8.892441749572754)* (398,8.888553619384766)* (479,8.878091812133789) (159,8.858684539794922)*
9: (625,9.601005554199219) (1273,9.518760681152344) (185,9.514921188354492)* (1062,9.489053726196289) (907,9.365408897399902) (802,9.194583892822266) (190,8.999646186828613) (2997,8.861719131469727) (1553,8.772918701171875) (3381,8.525528907775879) (519,8.512899398803711) (906,8.498552322387695) (560,8.417213439941406) (806,8.370121955871582) (2069,8.330379486083984) (1099,8.279275894165039) (540,8.194162368774414) (2096,8.090348243713379) (555,7.997197151184082) (512,7.909358978271484)
10: (842,4.7307329177856445) (263,4.6912689208984375) (1273,4.66950798034668) (823,4.438346862792969) (922,4.432372093200684) (1116,4.395750045776367) (158,4.394872665405273) (1192,4.280873775482178) (834,4.274028301239014) (2175,4.232779502868652) (159,4.192147254943848) (686,4.186182022094727) (300,4.178799629211426) (63,4.172900199890137) (173,4.140586853027344) (414,4.1259660720825195) (1935,4.044751167297363) (2582,4.044751167297363) (1187,4.04327917098999) (113,4.0363264083862305)
11: (15,11.318943977355957) (106,11.082426071166992) (164,10.573202133178711) (592,10.37187385559082) (159,10.303361892700195) (1063,10.279535293579102) (1273,10.209844589233398)* (1267,10.111083984375)* (2066,10.103017807006836) (116,10.00857162475586) (519,10.003425598144531) (169,9.984804153442383) (419,9.95048713684082) (67,9.903331756591797) (1187,9.852899551391602)* (875,9.83452033996582)* (913,9.795320510864258) (404,9.772397994995117) (493,9.754281997680664) (818,9.74864673614502)*
12: (72,7.943863868713379) (707,7.8623504638671875) (88,7.760676383972168) (167,7.539725303649902) (11,7.521356582641602) (18,7.473371505737305) (4,7.333870887756348) (269,7.3016462326049805) (2862,7.261904716491699) (2069,7.209972381591797) (312,7.151041030883789) (592,7.141321659088135) (17,7.110010623931885) (48,7.0684051513671875) (493,7.0280914306640625) (1180,6.958812236785889) (81,6.952813148498535) (159,6.94398307800293) (2066,6.925318717956543) (382,6.914664268493652)
13: (167,9.556509971618652) (48,8.6688232421875)* (632,8.502792358398438)* (215,8.474342346191406) (674,8.392786026000977)* (385,8.309406280517578) (113,8.272785186767578) (0,8.249189376831055) (67,8.21357536315918) (222,8.179444313049316)* (11,8.127185821533203) (1336,8.030525207519531) (101,8.02817153930664) (210,8.02480697631836) (922,7.991964817047119) (810,7.959733963012695) (298,7.957126617431641) (173,7.953395366668701) (4,7.949768543243408) (371,7.949530601501465)
14: (185,3.559110403060913) (592,3.5206422805786133) (625,3.198049783706665) (159,3.196152687072754) (1063,3.194131851196289) (147,3.1518120765686035) (167,3.1032018661499023) (15,3.082106828689575) (136,3.056267023086548) (519,3.033418655395508) (1144,3.00168514251709) (48,2.979708433151245) (512,2.9774911403656006) (67,2.9733872413635254) (366,2.971308708190918) (932,2.929631233215332) (131,2.9214658737182617) (1273,2.91964054107666) (169,2.9024863243103027) (2997,2.8950343132019043)
15: (60,13.940590858459473)* (399,13.384099960327148) (148,12.825618743896484)* (647,12.242860794067383) (324,12.174798965454102) (1914,11.938374519348145) (522,11.835439682006836) (529,11.750653266906738)* (139,11.442626953125)* (7288,11.155384063720703) (3326,11.145748138427734) (533,11.141965866088867) (15,11.041738510131836) (227,11.011240005493164)* (1824,10.878400802612305) (1830,10.8767671585083) (1573,10.829597473144531)* (3319,10.808845520019531) (698,10.758167266845703) (1393,10.614364624023438)*
16: (560,9.251825332641602) (185,8.996871948242188) (1061,8.482236862182617) (592,8.318138122558594) (1278,8.311442375183105) (2102,8.248549461364746) (2096,8.217538833618164) (81,8.17819595336914) (2862,8.160761833190918) (89,8.143159866333008) (1891,8.0924072265625) (130,8.043206214904785) (818,8.021970748901367) (561,7.997566223144531) (425,7.986371040344238) (889,7.861690998077393) (1362,7.851543426513672) (896,7.76704216003418) (752,7.738959312438965) (555,7.716683387756348)
