userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
17: (1584,13.81236457824707)* (541,10.820528984069824)* (1396,10.757814407348633) (3702,8.367671966552734) (1676,7.85729455947876) (2393,7.728440284729004) (1200,7.721454620361328)* (1215,7.41254997253418)* (2664,7.385313510894775)* (1372,6.983087539672852) (2968,6.339369773864746) (29,5.9196672439575195) (2628,5.819570541381836) (2009,5.5641889572143555) (2094,5.374697685241699) (3697,5.254743576049805) (3623,5.250040054321289) (3751,5.250040054321289)* (1307,5.250040054321289) (1358,5.250040054321289)*
39: (2706,5.993343353271484) (2762,5.34467887878418) (2355,4.290687084197998)* (2694,3.855623722076416) (3176,3.702880859375) (2502,3.6780662536621094)* (3114,3.674335241317749)* (3408,3.584378480911255) (2987,3.570091485977173) (2336,3.4255433082580566) (2541,3.3938546180725098) (3081,3.337897539138794) (3481,3.2905726432800293) (2692,3.263876438140869)* (785,3.241337776184082) (2707,3.214432954788208) (2710,3.167158603668213) (2712,3.142258644104004) (110,3.131290912628174) (3510,3.080873966217041)
54: (1136,7.366625785827637)* (1294,6.971198081970215) (1080,5.732992649078369) (1288,5.460673809051514) (1244,5.083090782165527) (1270,5.066528797149658) (1077,4.966109752655029) (3362,4.799857139587402) (2064,4.546726703643799) (2918,4.533191204071045) (1,4.467801570892334) (1269,4.421975135803223)* (921,4.354648590087891) (1078,4.237037658691406) (1193,4.215157508850098)* (1265,4.202942371368408) (1238,4.1602277755737305) (2352,4.092609882354736) (955,4.070910453796387) (2863,4.026883125305176)
80: (3753,3.0509090423583984) (2396,2.830348491668701) (1704,2.7165236473083496) (2858,2.6583218574523926) (150,2.627976179122925) (457,2.611823081970215) (2571,2.592592239379883) (2628,2.5803914070129395) (1393,2.5497117042541504) (780,2.510692596435547) (1,2.2930428981781006) (733,2.251370429992676) (1784,2.1937005519866943) (587,2.1801552772521973) (377,2.146003007888794) (349,2.1394729614257812) (3578,2.111881732940674) (1584,2.0907671451568604) (3256,2.0775554180145264) (2268,2.074430227279663)
88: (1225,4.202409267425537)* (1193,3.8965048789978027)* (2858,3.732008695602417) (919,3.093869686126709) (1213,3.038395404815674) (296,3.00006103515625) (260,2.7874884605407715) (1196,2.710129737854004) (1250,2.705057144165039)* (1252,2.680156707763672) (1136,2.667952060699463) (3095,2.6093645095825195) (1617,2.608909845352173) (1952,2.5743560791015625) (1276,2.556602954864502) (953,2.5473151206970215) (1394,2.5389528274536133) (3468,2.4888086318969727) (920,2.476787567138672) (2396,2.379464626312256)
89: (110,2.474270820617676) (2858,2.4681334495544434) (3578,2.2462363243103027) (3753,2.114722728729248) (2762,2.0932157039642334) (1198,1.904598355293274) (296,1.8492165803909302) (608,1.8432458639144897) (3147,1.8145395517349243) (1213,1.7026238441467285) (457,1.678234338760376) (2571,1.6270314455032349) (260,1.6158583164215088) (3510,1.6017451286315918) (3555,1.5984147787094116) (1221,1.578050136566162) (1617,1.5239167213439941) (1193,1.49382483959198)* (1196,1.481787919998169) (1721,1.3953938484191895)
95: (2028,3.3650550842285156)* (2858,3.31632661819458) (457,3.1447668075561523) (296,2.712143659591675) (2762,2.6922125816345215) (2571,2.6844329833984375)* (1704,2.592595100402832) (1,2.5230956077575684) (1617,2.4421186447143555) (150,2.4155189990997314) (2997,2.413252353668213) (3256,2.2946174144744873)* (34,2.2723066806793213) (377,2.2691688537597656) (21,2.2608346939086914) (3147,2.2292542457580566)* (1213,2.2208518981933594) (1923,2.1980228424072266)* (3114,2.1807217597961426) (349,2.117083787918091)
107: (903,4.453732490539551) (1284,4.387048244476318) (912,4.293295860290527)* (1267,4.260578632354736) (1204,4.203212738037109)* (1221,4.120941162109375) (1254,4.098313331604004) (1953,4.0461554527282715) (1262,3.938897132873535) (1212,3.9185729026794434) (3334,3.8336944580078125) (1207,3.761432647705078) (541,3.694810152053833)* (1214,3.675657272338867) (3095,3.6187362670898438) (3196,3.5332608222961426) (930,3.4854812622070312) (1225,3.4253883361816406) (1299,3.4141740798950195) (1950,3.409440040588379)
150: (527,5.3525285720825195)* (2997,5.205383777618408)* (1193,5.052557945251465)* (2599,4.781497955322266) (1230,4.721360683441162) (1704,4.633401870727539) (1213,4.518937110900879) (2028,4.500388145446777)* (2336,4.330596923828125) (3543,4.184879302978516) (3408,3.974761486053467) (1259,3.9665513038635254)* (265,3.8409993648529053)* (2324,3.8289008140563965)* (2289,3.8096423149108887) (1244,3.790858507156372) (3176,3.7803468704223633)* (1288,3.777848243713379) (36,3.764265537261963) (17,3.750913619995117)
151: (2396,4.9529805183410645)* (3481,4.820407867431641)* (2248,4.7990875244140625)* (1265,4.67009162902832)* (1500,4.197661876678467)* (2671,4.118791103363037) (265,3.807138681411743) (377,3.760404109954834) (3893,3.751439332962036) (1394,3.7085299491882324)* (2174,3.604182720184326) (1060,3.552614212036133)* (11,3.525442600250244) (1912,3.4846744537353516) (1885,3.4825820922851562) (2324,3.455155849456787)* (1748,3.428544759750366) (2968,3.413771867752075) (2100,3.341254711151123)* (260,3.3388848304748535)*
155: (597,3.1704506874084473) (1721,3.0067832469940186) (1,2.581397771835327) (899,2.4879140853881836) (2324,2.432225227355957)* (11,2.400424003601074) (1569,2.3902554512023926) (1923,2.362645149230957) (912,2.293790340423584) (919,2.2740306854248047) (1393,2.1758525371551514) (260,2.1507840156555176) (150,2.1450350284576416) (527,2.1328163146972656) (500,2.1203699111938477) (590,2.106638193130493) (3095,2.1005444526672363) (920,2.084573984146118) (1945,2.0132486820220947) (1641,1.98896324634552)
