userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (1,8.013154983520508)* (364,7.730564117431641) (34,6.300114631652832) (318,5.813816070556641) (2081,5.649236679077148) (1097,5.518245220184326)* (2687,5.281293869018555) (1028,5.252795219421387)* (1198,5.107440948486328) (593,5.093410491943359) (2096,5.067572593688965) (2761,4.830076217651367) (2571,4.782813549041748) (1704,4.717137336730957) (2087,4.672154903411865) (2078,4.619776725769043) (457,4.586587905883789) (2085,4.586252212524414) (3751,4.560482501983643) (480,4.520088195800781)
2: (110,7.8212666511535645)* (1704,7.363759994506836) (527,7.138271331787109) (150,6.739375591278076) (593,6.53261661529541)* (1961,6.035758018493652) (2571,5.726158142089844)* (858,5.714194297790527) (1291,5.628265380859375) (260,5.601811408996582) (1097,5.116095542907715) (1225,5.110198974609375)* (1721,5.0980329513549805) (1242,5.028134346008301) (2324,4.911686420440674) (608,4.828218460083008) (1036,4.817586421966553) (1193,4.817281723022461)* (1580,4.810522556304932) (2762,4.725592613220215)
3: (1270,7.245044708251953) (2918,6.66016149520874) (2716,6.187540054321289) (2804,6.148504734039307) (2791,6.02909517288208) (110,5.974380970001221) (2797,5.844001770019531) (1073,5.677184104919434) (1036,5.527584552764893) (1220,5.46480655670166) (1307,5.436105728149414) (2174,5.279829978942871) (2000,5.086376190185547) (2028,5.066196441650391) (2406,4.922141075134277) (1265,4.689570426940918) (592,4.679366111755371) (589,4.675168037414551) (356,4.659379005432129) (2628,4.654132843017578)
5: (2599,8.2001953125)* (2858,8.005375862121582)* (3160,6.257659912109375) (223,6.187816619873047) (2336,5.922704696655273) (1617,5.810652256011963) (2762,5.738123416900635) (1041,5.648096084594727) (778,5.618193626403809) (235,5.485503196716309) (1673,5.392270088195801) (247,5.385224342346191) (1719,5.059053897857666) (2396,5.028195381164551) (1089,4.950937271118164)* (1358,4.932133674621582) (1148,4.904433250427246) (246,4.821939468383789) (1179,4.806793212890625) (2028,4.776483058929443)
6: (899,5.784515380859375) (2080,5.704441547393799) (1721,5.56331205368042) (1022,5.447115421295166) (2096,5.100231647491455) (356,5.0638580322265625) (919,4.941469669342041) (539,4.932590484619141) (1307,4.8875412940979) (594,4.598417282104492) (2565,4.540316581726074) (2087,4.441431045532227) (1569,4.386423110961914)* (3408,4.374415397644043)* (1282,4.334146499633789) (3512,4.333401679992676) (2424,4.239011764526367) (2355,4.230477333068848) (2941,4.187689781188965) (1907,4.11793327331543)
7: (589,8.730304718017578)* (2571,8.162985801696777)* (480,7.4076337814331055)* (377,7.140292167663574) (1370,6.578551292419434) (1036,6.323161602020264) (1608,5.824118614196777) (780,5.6205034255981445) (2058,5.50370979309082) (165,5.293805122375488) (1198,5.201815128326416) (10,5.153448581695557) (1291,4.971282958984375) (1527,4.898070335388184) (1552,4.791697978973389) (1240,4.631599426269531) (2628,4.61322021484375) (2763,4.590595245361328) (593,4.4588623046875) (2278,4.373608589172363)
8: (2028,8.006073951721191)* (2571,6.897653579711914)* (318,6.732640266418457) (589,6.7275238037109375)* (3418,6.400609493255615) (593,6.114988327026367) (590,6.035904884338379) (778,5.693215370178223) (1183,5.562631607055664) (2959,5.549120903015137) (25,5.5352253913879395)* (1408,5.4986138343811035) (1358,5.441065788269043) (457,5.3747172355651855) (3160,5.364104270935059) (1393,5.284450531005859)* (36,5.1148176193237305)* (1584,5.10152530670166) (6,5.083831787109375) (32,5.059401512145996)
9: (296,10.405485153198242) (1213,8.341642379760742)* (2997,7.946451663970947) (110,7.764318466186523) (2396,7.536020278930664) (356,7.409915447235107) (150,7.130673408508301) (32,6.734253406524658) (589,6.695880889892578) (34,6.692258834838867) (1393,6.199861526489258) (1784,6.1355299949646) (3006,5.933626174926758) (260,5.931689262390137) (3578,5.872712135314941) (1196,5.871835231781006) (1060,5.73968505859375)* (1197,5.648035049438477) (2501,5.617858409881592) (2329,5.58122444152832)
10: (1197,8.086302757263184)* (1356,7.752346992492676)* (2628,7.720778942108154) (2080,7.641859531402588)* (1193,7.259812831878662) (1376,7.232791900634766)* (1278,7.133760929107666)* (2407,7.038909912109375)* (1265,6.88901948928833)* (1259,6.86973762512207) (1721,6.836963176727295) (2657,6.719925403594971)* (912,6.549240589141846) (3114,6.4929609298706055)* (329,6.4726128578186035)* (316,6.391474723815918)* (2424,6.317188739776611)* (2716,6.208385944366455)* (924,6.1966938972473145) (34,6.1621294021606445)
11: (296,7.865240097045898) (318,7.595925807952881)* (1060,6.604700088500977) (1517,6.5733842849731445) (223,6.563645839691162) (1968,5.98915958404541) (2324,5.925153732299805) (1213,5.854610443115234)* (3253,5.7904534339904785) (2395,5.651687145233154) (1265,5.539063453674316) (3421,5.361001968383789) (3147,5.3282694816589355) (47,5.295950889587402) (527,5.284008979797363) (2599,5.121860027313232) (3552,5.064460277557373) (2028,4.924997329711914) (2706,4.921256065368652) (3052,4.887528896331787)
12: (260,5.176044940948486) (1193,5.001843452453613)* (608,4.823885440826416) (1213,4.501337051391602) (912,4.335548400878906) (296,4.096767425537109) (1214,4.034818649291992) (1198,4.029328346252441)* (50,3.995553970336914) (1196,3.9785900115966797) (318,3.967670440673828) (2858,3.878157377243042) (2028,3.804224729537964) (527,3.7216796875) (1617,3.6406302452087402) (1219,3.555699348449707) (1247,3.525437355041504) (1252,3.4927241802215576) (750,3.48525333404541) (1136,3.441183090209961)
13: (2628,7.411500930786133) (1240,6.838754653930664) (527,6.409074783325195)* (1580,6.258696556091309)* (2916,5.87160587310791) (1270,5.857733726501465) (457,5.806606769561768) (1610,5.624485969543457) (858,5.513288497924805) (2762,5.4916205406188965) (1200,5.407011985778809) (1376,5.363472938537598) (1036,5.287985801696777) (1214,5.179199695587158) (541,5.114072322845459) (2858,4.827771186828613) (356,4.563216209411621) (1242,4.558849811553955) (919,4.537749767303467)* (608,4.485642433166504)
14: (2858,5.455073356628418) (2959,4.304871559143066) (2762,3.747321844100952)* (527,3.43782901763916) (2599,3.39640212059021) (318,3.29349684715271) (223,3.2752177715301514) (2908,3.0083441734313965) (608,2.9222965240478516) (2336,2.911022424697876) (2028,2.906146287918091) (2395,2.9036502838134766) (593,2.8581268787384033) (2324,2.8517441749572754) (50,2.8137943744659424) (858,2.765658378601074) (1196,2.740711212158203) (3176,2.7342729568481445) (1617,2.709843158721924) (2712,2.7047390937805176)
15: (3147,8.337262153625488)* (110,8.311017990112305)* (457,7.270705699920654)* (2959,6.868613243103027) (2763,6.72369909286499) (1617,6.693143844604492) (296,6.661620140075684) (480,6.510047912597656)* (1721,6.414432525634766) (608,6.3199872970581055) (150,6.232277870178223) (2688,6.216413974761963) (733,6.196730613708496) (2605,6.0257158279418945) (590,5.970376968383789) (1393,5.931755542755127) (3623,5.917625427246094) (1784,5.8473615646362305) (349,5.771505832672119) (2353,5.747840881347656)
16: (3114,6.058149814605713) (2716,5.509280681610107) (2987,5.15995979309082) (1127,4.922267436981201) (2706,4.875758171081543) (2396,4.650476455688477) (2770,4.6260294914245605) (2762,4.081212043762207) (2858,4.074759006500244) (2694,4.045466899871826) (3157,3.946955680847168) (2763,3.9373068809509277) (2433,3.82767391204834) (1959,3.6461195945739746) (2688,3.627182960510254) (3793,3.6155457496643066) (2336,3.6017401218414307) (3408,3.5203311443328857) (2605,3.503361701965332) (2997,3.437032699584961)
17: (1653,8.511734962463379)* (1097,8.415190696716309) (1527,7.621129989624023)* (2762,7.473757743835449)* (1199,7.349980354309082) (608,7.349106788635254) (1396,7.101409435272217) (2968,6.980225563049316) (3702,6.8843584060668945) (296,6.827572345733643)* (750,6.758410453796387)* (1301,6.661765098571777)* (3703,6.533387184143066)* (2628,6.120128631591797) (2985,6.098553657531738)* (1,6.032059669494629) (1676,5.897928237915039) (1573,5.847986221313477) (3578,5.815591335296631)* (1372,5.494190216064453)
18: (595,8.872182846069336)* (1022,7.509811878204346)* (260,6.917122840881348)* (1028,6.672909736633301)* (1032,6.406255722045898)* (3034,6.3482818603515625)* (497,6.177619934082031) (2396,6.1122026443481445) (1275,6.088227272033691)* (1610,6.068057060241699) (2406,5.751590728759766) (2174,5.726609706878662) (2571,5.7207231521606445) (1033,5.6887736320495605)* (661,5.684000492095947) (318,5.624265670776367) (1101,5.597003936767578) (293,5.578271865844727) (3114,5.564382076263428) (2028,5.564164161682129)*
19: (260,8.879379272460938) (2762,7.43973445892334)* (2028,7.163882255554199)* (3578,7.071481227874756) (589,6.879535675048828)* (3793,6.737410545349121)* (457,6.5608720779418945) (1136,6.4336042404174805) (2628,6.151767730712891) (2997,6.12525749206543) (2706,6.043155670166016) (1240,5.780880928039551) (1270,5.742182731628418)* (2396,5.583294868469238) (2987,5.46771240234375)* (1610,5.398714065551758) (296,5.3642120361328125) (1214,5.215059757232666) (3623,5.14619779586792) (364,5.13537073135376)
20: (480,6.549388885498047) (260,5.937880516052246) (1196,5.805300712585449) (1210,5.787096977233887) (1580,5.673887252807617) (457,5.404511451721191)* (593,5.212533950805664) (1198,5.01300573348999) (2762,4.763870716094971) (608,4.682861328125) (858,4.672404766082764) (2916,4.650790214538574) (296,4.6441802978515625) (318,4.541790962219238) (527,4.536229133605957) (50,4.469536781311035) (3793,4.418705940246582) (1610,4.3629069328308105) (2628,4.312945365905762) (1200,4.157158851623535)
21: (3793,3.8863630294799805) (3578,3.2004141807556152) (741,2.9029130935668945) (3624,2.900339365005493) (3751,2.8408069610595703) (1274,2.796987295150757) (2761,2.6171605587005615) (551,2.4456124305725098) (3300,2.395989418029785) (3481,2.3560872077941895) (1215,2.332217216491699) (2959,2.264958381652832) (1527,2.1826701164245605) (1148,2.1765799522399902) (1748,2.1168222427368164) (1356,2.114305019378662) (2692,2.094655990600586) (2105,2.0858635902404785) (3160,2.061016082763672) (3175,2.0461349487304688)
22: (260,7.450244426727295) (296,7.305995941162109) (1210,7.305586814880371) (2804,7.176647186279297) (1197,7.070968151092529) (2571,6.8617753982543945) (1136,6.787115097045898)* (2959,6.498271942138672) (50,6.3303632736206055) (1215,6.316417217254639)* (1732,5.746613502502441)* (2700,5.731301307678223) (593,5.640435695648193) (1580,5.5095672607421875) (1968,5.466497421264648) (1200,5.455891132354736)* (541,5.334299087524414) (1206,5.275454044342041) (480,5.210734844207764) (551,5.132937431335449)
23: (2571,9.03009033203125) (1374,7.784695148468018) (1200,7.608549118041992) (541,7.574398994445801)* (1240,7.569518089294434)* (3175,7.45627498626709) (1214,7.450313568115234) (1527,7.199673652648926)* (3702,6.317805290222168) (3703,6.299420356750488) (1206,6.26383113861084) (260,6.187124252319336)* (2529,6.175289630889893) (2288,6.16539192199707) (1617,6.067066669464111) (1676,6.000611305236816) (1653,5.993410587310791) (1199,5.987723350524902) (1210,5.9664106369018555) (1584,5.7926435470581055)
24: (2804,7.867528915405273) (1196,7.3899006843566895) (2248,7.319849967956543)* (1097,7.193470001220703) (1961,7.022825717926025) (1210,6.2962846755981445) (2000,6.127281188964844) (2174,6.088034629821777) (1291,6.0380353927612305)* (3421,5.612471580505371) (1172,5.537322998046875) (1674,5.463284492492676)* (593,5.354936599731445)* (1225,5.348588943481445)* (1,5.340015411376953) (356,5.323627471923828) (296,5.282808780670166)* (1213,5.2727885246276855)* (1136,5.235802173614502) (1663,5.178274631500244)*
25: (2571,7.776962757110596) (1196,7.424232482910156)* (3175,7.033953666687012) (2762,6.963310241699219) (2959,5.828047752380371) (780,5.5770440101623535)* (1197,5.238492488861084) (2355,5.193052768707275) (1584,5.163609981536865) (1127,5.160282135009766) (589,5.061538219451904) (2716,4.937479019165039)* (316,4.9329094886779785) (2997,4.878724098205566) (1527,4.759632587432861) (2396,4.754964351654053) (1291,4.640589237213135)* (1580,4.592968940734863)* (1097,4.591909408569336) (329,4.584921360015869)
