userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (131,7.04287576675415) (324,6.557590007781982) (374,6.557020664215088) (67,6.540916442871094) (1202,6.380517959594727) (18,6.346956729888916) (167,6.295605659484863) (1144,6.244752407073975) (823,6.103336334228516) (265,6.073156356811523) (72,6.039628028869629) (2147,6.020696640014648) (404,6.017534255981445) (50,5.994113922119141) (302,5.976400852203369) (1063,5.97012996673584) (115,5.950150012969971)* (185,5.935733318328857) (298,5.931694507598877) (107,5.893263816833496)
2: (2423,10.112083435058594) (258,9.862116813659668)* (11,9.725940704345703)* (10,9.723605155944824)* (3708,9.607542037963867) (15098,9.547405242919922) (121,9.281702041625977) (670,9.145855903625488) (211,9.097878456115723) (189,9.076478004455566) (2266,9.021470069885254) (665,8.856182098388672) (227,8.770719528198242)* (4181,8.7683744430542) (661,8.674962997436523) (676,8.672316551208496) (84,8.543465614318848) (34,8.491771697998047) (205,8.487545013427734) (4952,8.481231689453125)
3: (15,7.992833137512207) (167,7.355243682861328) (265,7.102843761444092) (48,6.656559467315674) (107,6.652246952056885) (922,6.60195779800415) (95,6.581718444824219) (4,6.570280075073242) (312,6.567734718322754) (222,6.537939548492432) (129,6.537476539611816) (130,6.504055023193359) (11,6.489101409912109) (185,6.411962509155273) (512,6.387199401855469) (18,6.367925643920898) (1813,6.345726013183594) (67,6.3210859298706055) (823,6.307406902313232) (670,6.30156946182251)
5: (167,9.973682403564453)* (4,9.805709838867188) (17,9.016410827636719)* (130,8.853646278381348) (11,8.691434860229492) (67,8.376985549926758) (185,8.270193099975586) (50,8.078393936157227) (312,8.05160140991211) (520,8.04317855834961) (560,8.039875030517578) (147,7.997180938720703) (810,7.958034515380859) (215,7.945065498352051) (986,7.888756275177002) (8,7.816218376159668)* (131,7.804685115814209) (434,7.709301471710205) (2077,7.697955131530762) (298,7.594339847564697)
11: (15,11.16538143157959) (71,10.011180877685547)* (1062,9.969382286071777) (419,9.891107559204102) (129,9.788856506347656) (20672,9.527552604675293) (670,9.512716293334961) (3344,9.511614799499512) (952,9.388969421386719) (240,9.178532600402832) (814,9.15921401977539)* (553,9.155770301818848)* (135,9.141538619995117) (1027,9.115459442138672) (108,9.076349258422852) (540,9.007020950317383) (625,8.962217330932617)* (116,8.924494743347168) (1144,8.911613464355469) (72,8.842635154724121)*
18: (185,10.726810455322266) (222,10.203133583068848)* (1063,10.119108200073242) (136,10.095601081848145) (520,9.861124038696289) (164,9.860316276550293) (512,9.845849990844727) (404,9.827359199523926) (913,9.717002868652344)* (539,9.694443702697754)* (139,9.674739837646484)* (11,9.65318489074707)* (135,9.579408645629883) (147,9.375322341918945) (48,9.302992820739746) (173,9.295661926269531)* (444,9.269817352294922)* (116,9.214536666870117)* (4,9.173582077026367)* (73,9.127963066101074)*
24: (69,11.55964469909668)* (1186,11.074043273925781)* (7426,10.840495109558105) (670,10.672046661376953) (174,10.390547752380371) (1224,10.281515121459961) (122,10.258787155151367) (337,10.236478805541992) (263,10.022468566894531) (3397,10.016942977905273) (1958,9.867754936218262)* (123,9.85833740234375) (354,9.852458000183105) (3738,9.827438354492188) (277,9.727073669433594) (89,9.722047805786133) (875,9.629887580871582)* (4744,9.619050025939941) (553,9.456697463989258) (2069,9.326135635375977)
30: (6906,12.199010848999023) (95,12.18213176727295) (423,12.07490062713623) (2365,11.604239463806152) (2609,11.53066635131836) (898,11.430074691772461) (1790,11.375527381896973) (2119,11.373478889465332) (2888,11.257694244384766) (2055,11.042976379394531) (2961,10.970516204833984) (2339,10.898661613464355) (2101,10.797286033630371) (2616,10.771587371826172) (1222,10.74903678894043) (1061,10.729512214660645)* (896,10.723194122314453) (1027,10.714984893798828) (575,10.599842071533203) (3206,10.569369316101074)*
50: (764,2.5316786766052246) (823,2.5223159790039062) (158,2.521643877029419) (312,2.4225354194641113) (844,2.410534620285034) (67,2.3968429565429688) (167,2.3892738819122314) (15,2.3584909439086914) (48,2.3364014625549316) (298,2.308455228805542) (891,2.294747829437256) (189,2.2235565185546875) (1144,2.2084121704101562) (374,2.198340892791748) (157,2.190114736557007) (63,2.1782658100128174) (434,2.171332597732544) (419,2.1656789779663086) (2732,2.137810230255127) (2328,2.1319522857666016)
59: (185,8.763711929321289) (130,8.577357292175293) (67,8.254822731018066) (136,8.17398452758789) (560,8.054329872131348)* (388,7.9222612380981445)* (147,7.874950408935547) (1063,7.8709821701049805) (312,7.742580413818359)* (1144,7.628345966339111) (419,7.61777400970459) (265,7.603432655334473) (11,7.514199733734131)* (889,7.465738296508789) (986,7.4188432693481445)* (1278,7.322170257568359) (298,7.316346168518066) (539,7.2412214279174805) (215,7.221794605255127) (222,7.1899895668029785)
60: (15,11.851325988769531)* (539,10.09177017211914)* (575,9.995903015136719)* (628,9.483851432800293) (1144,9.313943862915039)* (11,9.15626335144043) (1072,9.085699081420898) (190,8.736645698547363) (875,8.66085433959961) (3266,8.61764144897461) (116,8.606283187866211) (364,8.598268508911133) (626,8.54915714263916) (134,8.54680061340332) (572,8.450121879577637) (540,8.431045532226562)* (952,8.380683898925781) (162,8.290825843811035) (170,8.25856876373291)* (324,8.251691818237305)
61: (8,10.592523574829102) (2101,10.427095413208008) (34,10.391683578491211)* (15,10.012869834899902) (2119,9.988512992858887) (692,9.837064743041992)* (479,9.822160720825195)* (986,9.572799682617188) (1182,9.571802139282227) (6,9.493143081665039) (719,9.41403865814209) (663,9.406868934631348)* (5,9.310845375061035) (731,9.157217979431152) (999,9.139708518981934)* (1462,9.017570495605469) (1816,8.997390747070312) (951,8.925498962402344) (49,8.88290786743164) (259,8.834677696228027)
69: (185,10.896020889282227)* (130,10.185123443603516) (136,10.049785614013672) (560,10.046272277832031)* (512,9.960274696350098) (1063,9.859739303588867) (15,9.669726371765137) (1278,9.635522842407227) (1273,9.623866081237793) (190,9.373711585998535) (404,9.294994354248047)* (539,9.13125228881836) (1062,9.044864654541016) (419,8.896215438842773) (3336,8.881143569946289) (147,8.843791007995605) (166,8.841547012329102) (686,8.664703369140625) (167,8.664570808410645) (67,8.662918090820312)
71: (324,13.646800994873047)* (404,13.00637435913086)* (455,12.520679473876953) (15,12.307876586914062)* (922,11.67595100402832)* (67,11.640300750732422) (2149,11.577642440795898) (992,11.435356140136719) (169,11.396596908569336) (49,11.380143165588379) (512,11.27446174621582)* (576,11.179353713989258) (104,11.146605491638184) (948,11.120412826538086) (2628,10.97620677947998) (823,10.878064155578613) (1187,10.832220077514648) (1069,10.803000450134277) (1817,10.77396297454834) (265,10.754045486450195)
73: (15,8.210761070251465) (48,8.032026290893555) (167,7.999741554260254) (312,7.781832695007324) (215,7.491340637207031) (185,7.373396873474121) (67,7.370230674743652) (130,7.158228874206543) (129,7.054771423339844)* (364,6.980101585388184)* (131,6.923391342163086) (670,6.916618347167969) (324,6.902352809906006) (107,6.89112663269043) (95,6.862171173095703) (823,6.841386318206787) (136,6.790129661560059) (560,6.789907455444336) (952,6.776885032653809) (674,6.773490905761719)
76: (3555,15.400527954101562)* (413,15.341523170471191) (538,15.321255683898926) (520,14.63092041015625) (1385,14.607909202575684) (5425,14.518489837646484)* (1322,14.462583541870117) (204,14.224960327148438)* (5163,14.071136474609375)* (1495,14.056130409240723) (1249,14.02912712097168) (20678,13.98813247680664) (2072,13.945920944213867)* (421,13.910467147827148)* (1017,13.817091941833496)* (2144,13.769454956054688)* (2173,13.760882377624512)* (205,13.601614952087402)* (5207,13.53896713256836)* (1196,13.533306121826172)
80: (48,8.821134567260742) (185,8.817935943603516) (67,8.383522033691406) (312,8.380460739135742) (265,8.21041488647461)* (130,8.178682327270508) (560,8.14357852935791) (11,8.054588317871094) (4,7.996058464050293) (324,7.9923200607299805) (512,7.942056179046631) (18,7.817289352416992)* (298,7.7934064865112305) (674,7.780202865600586) (136,7.779636383056641) (115,7.767297267913818) (169,7.743988513946533) (721,7.733585357666016) (147,7.6948089599609375) (162,7.69039249420166)
83: (1063,11.156935691833496) (164,10.68806266784668) (2114,10.608699798583984) (2102,10.180587768554688) (3655,10.151493072509766) (116,9.898174285888672) (161,9.885193824768066) (2188,9.825416564941406) (560,9.824081420898438) (561,9.704633712768555) (130,9.676898002624512) (1100,9.55449104309082) (398,9.55432415008545) (124,9.455049514770508) (865,9.424250602722168)* (774,9.411720275878906) (2846,9.338134765625) (3806,9.315315246582031) (1278,9.249628067016602) (489,9.153267860412598)
87: (560,11.544792175292969)* (1273,11.42782974243164)* (1062,10.822481155395508) (1100,10.768614768981934) (164,10.462467193603516) (2114,10.277078628540039) (3655,10.190814018249512)* (2779,10.069788932800293) (2134,9.804329872131348) (3344,9.648872375488281) (2143,9.586528778076172) (1278,9.581478118896484) (862,9.563211441040039) (570,9.512917518615723) (686,9.508630752563477) (2120,9.40396785736084) (896,9.30085563659668) (1260,9.206893920898438) (1802,9.136139869689941) (913,9.106973648071289)*
88: (6254,14.366159439086914)* (4873,13.927793502807617)* (131,13.926740646362305)* (15098,13.75106430053711) (952,13.553037643432617)* (2143,13.520267486572266) (3708,13.485536575317383)* (2199,13.474564552307129)* (158,13.182915687561035) (367,12.949783325195312) (348,12.813966751098633)* (242,12.755329132080078)* (321,12.753315925598145)* (2096,12.653129577636719)* (3499,12.65208911895752) (1062,12.594186782836914)* (2713,12.361477851867676) (173,12.356330871582031) (1207,12.353034973144531) (21126,12.327481269836426)
92: (48,11.391510963439941)* (147,10.876029968261719)* (130,10.681568145751953) (87,10.61386775970459) (88,10.578289031982422) (520,10.569343566894531) (115,10.163783073425293)* (374,10.054874420166016) (404,9.989629745483398) (2609,9.58729362487793)* (674,9.574363708496094) (18,9.496801376342773) (169,9.448973655700684)* (1196,9.43358039855957) (721,9.373111724853516) (1790,9.370981216430664) (3270,9.255430221557617)* (1242,9.22531509399414) (94,9.040979385375977) (419,9.036270141601562)*
107: (130,8.537050247192383) (167,8.161635398864746) (385,8.006816864013672) (1278,7.969421863555908) (560,7.9397053718566895) (420,7.90001916885376) (324,7.896346092224121) (440,7.878207206726074)* (520,7.798154354095459) (6,7.759862422943115)* (67,7.738180160522461) (404,7.695295333862305) (364,7.628915309906006) (721,7.604408264160156) (1063,7.570262432098389) (1377,7.568696975708008) (265,7.538658142089844) (116,7.533748626708984) (48,7.533077239990234) (199,7.5268964767456055)
110: (48,10.849861145019531) (11,10.598928451538086)* (279,10.450201988220215) (265,10.165102005004883) (14,10.160282135009766) (15,10.144611358642578)* (360,10.12379264831543)* (670,10.020170211791992) (1180,9.881916046142578) (276,9.823741912841797)* (215,9.801630020141602) (115,9.678483009338379) (35,9.575519561767578)* (135,9.558077812194824) (2173,9.55457878112793) (1281,9.496808052062988) (298,9.495102882385254) (69,9.43862533569336) (669,9.436299324035645) (2328,9.42796516418457)*
114: (265,9.403785705566406) (15,9.197447776794434)* (185,9.017158508300781) (240,8.980583190917969) (1186,8.944876670837402) (130,8.855613708496094) (823,8.826459884643555) (312,8.825382232666016) (922,8.600348472595215)* (215,8.583993911743164) (87,8.476587295532227) (169,8.475128173828125) (189,8.442239761352539) (374,8.382051467895508) (136,8.37750244140625) (512,8.352176666259766) (95,8.332651138305664) (371,8.240781784057617) (115,8.230318069458008)* (686,8.2006196975708)
118: (2147,15.824896812438965)* (269,15.130036354064941)* (174,14.704063415527344)* (131,13.874963760375977) (167,13.543427467346191) (89,13.540700912475586)* (1321,13.500900268554688) (219,13.238174438476562) (158,13.164407730102539) (87,13.013776779174805) (14,13.00379753112793)* (351,12.901834487915039)* (129,12.8841552734375) (670,12.83376407623291) (3750,12.732147216796875) (224,12.600419998168945)* (3770,12.489105224609375) (247,12.427574157714844)* (248,12.333821296691895) (11,12.296554565429688)
119: (2173,15.007643699645996)* (139,14.650949478149414)* (5489,14.601373672485352) (25,13.83109188079834) (440,13.568568229675293)* (359,13.126200675964355)* (4776,12.994466781616211)* (2630,12.843856811523438) (9571,12.786172866821289) (4213,12.675174713134766) (69,12.514598846435547)* (40,12.414419174194336) (9552,12.392175674438477) (2220,12.362378120422363) (26,12.249176979064941) (704,12.227081298828125)* (1281,12.149197578430176)* (129,12.109450340270996)* (41,12.00377082824707) (137,11.9862060546875)*
124: (1919,20.442323684692383)* (1100,19.87051010131836)* (1220,19.693729400634766) (3274,19.628416061401367)* (1950,19.340675354003906)* (658,19.1768798828125)* (2160,19.04074478149414) (649,18.88734245300293)* (661,18.411930084228516) (258,18.038358688354492)* (1004,17.981433868408203) (329,17.933778762817383)* (210,17.859312057495117)* (2772,17.705524444580078)* (4467,17.690589904785156) (129,17.646278381347656)* (174,17.62160301208496)* (2971,17.257354736328125) (1383,16.912946701049805)* (936,16.88998794555664)
125: (130,12.247117042541504) (95,12.17049789428711) (161,12.053731918334961) (134,11.324430465698242)* (875,11.218974113464355)* (898,10.84463882446289) (164,10.519245147705078)* (673,10.412582397460938) (15,10.38871955871582) (833,10.296976089477539) (1014,10.2952241897583) (94,10.236494064331055) (1222,10.205183982849121) (889,10.15787124633789) (779,10.117531776428223) (87,10.009171485900879) (394,9.949605941772461) (983,9.889432907104492) (721,9.730749130249023) (1113,9.648175239562988)
130: (913,12.332716941833496)* (2188,12.033170700073242)* (108,12.021642684936523)* (1144,11.663535118103027) (539,11.583295822143555)* (187,11.583099365234375) (116,11.531502723693848) (625,11.506134033203125) (528,11.008454322814941) (512,10.75899887084961)* (1150,10.655652046203613)* (1224,10.600381851196289) (686,10.568954467773438) (1027,10.543594360351562)* (2761,10.496736526489258) (930,10.480043411254883)* (520,10.403341293334961)* (2141,10.38979721069336)* (896,10.358827590942383)* (660,10.298306465148926)
131: (48,9.051033973693848) (265,8.906381607055664) (312,8.599327087402344) (167,8.535911560058594) (135,8.513527870178223) (670,8.298088073730469) (276,8.207237243652344) (174,8.196929931640625) (1187,8.191387176513672) (89,8.153047561645508) (115,8.068685531616211) (1717,8.035250663757324) (215,8.034299850463867) (15,7.978532314300537) (1207,7.90362548828125) (922,7.892226219177246) (129,7.8794379234313965) (67,7.8781585693359375) (173,7.82627534866333) (294,7.789085865020752)
137: (185,7.481029033660889) (560,7.166869163513184) (512,6.956931114196777) (136,6.851945400238037) (67,6.820919990539551) (1063,6.77037239074707) (164,6.725528240203857) (520,6.6754374504089355) (48,6.6373291015625) (265,6.593508243560791) (147,6.523883819580078) (404,6.522139549255371) (1278,6.445402145385742) (166,6.30234432220459) (539,6.285467624664307) (87,6.280131816864014) (135,6.252945423126221) (95,6.21999979019165) (625,6.208205223083496) (419,6.193442344665527)
138: (185,12.760574340820312)* (560,12.397794723510742)* (130,12.1998291015625)* (147,11.775612831115723)* (1063,11.387889862060547)* (1144,11.266926765441895) (512,11.225151062011719)* (575,11.15427017211914) (1553,11.131449699401855) (164,11.042509078979492) (265,11.009023666381836)* (116,10.648687362670898) (404,10.51634693145752) (2188,10.246663093566895)* (419,10.155570983886719)* (628,10.138590812683105) (2102,10.134049415588379) (555,9.98558521270752) (865,9.884368896484375)* (143,9.878120422363281)
139: (185,13.932212829589844) (1273,13.752645492553711)* (88,12.55627727508545) (2143,12.102775573730469) (72,11.597335815429688) (15,11.554418563842773) (1100,11.433050155639648) (3346,11.380661010742188) (3274,11.301499366760254) (625,11.230844497680664) (18,10.94363784790039) (2609,10.836427688598633) (941,10.759471893310547) (1099,10.642942428588867) (3270,10.601957321166992) (1180,10.571261405944824) (164,10.443669319152832) (2131,10.416943550109863) (4148,10.36950397491455)* (658,10.24751091003418)
142: (258,17.188175201416016)* (2428,16.678180694580078)* (15098,16.49425506591797) (215,15.736889839172363)* (4873,15.17078971862793)* (173,15.061484336853027)* (439,14.881117820739746)* (324,14.712334632873535)* (167,14.695378303527832)* (6341,14.559106826782227)* (72,14.249170303344727)* (298,14.151694297790527)* (1281,14.045823097229004)* (16,14.037792205810547)* (669,14.021391868591309)* (211,13.975481986999512)* (227,13.89387321472168) (348,13.872447967529297)* (248,13.730202674865723) (51,13.349989891052246)*
152: (185,8.286979675292969) (67,8.120067596435547) (130,7.823633193969727) (512,7.800689220428467) (560,7.703584671020508) (131,7.6829352378845215) (147,7.5709381103515625) (4,7.5533294677734375) (136,7.553269386291504) (298,7.532639026641846) (952,7.516635417938232) (823,7.4948625564575195) (674,7.401859283447266) (72,7.377287864685059) (95,7.352921485900879)* (875,7.315306186676025) (922,7.297300338745117) (553,7.262201309204102) (17,7.222637176513672) (169,7.219400882720947)
155: (15,8.809820175170898) (185,8.743371963500977) (147,8.359393119812012) (167,8.268987655639648) (48,8.163017272949219) (67,8.082015991210938) (512,7.999783992767334) (4,7.710893630981445) (265,7.6768107414245605) (164,7.548710823059082) (131,7.536363124847412) (89,7.435175895690918) (1278,7.4125447273254395) (324,7.3576202392578125) (674,7.3422722816467285) (312,7.3360276222229) (87,7.334628105163574) (1186,7.327816486358643) (539,7.277199745178223) (116,7.270379066467285)
156: (355,13.012184143066406) (2956,11.78925895690918)* (67,11.69151496887207)* (686,11.633645057678223) (715,11.498336791992188)* (11,11.487491607666016)* (18,11.465288162231445)* (17,11.452971458435059) (190,11.385612487792969)* (210,11.250389099121094)* (222,11.164216041564941)* (1813,11.112370491027832)* (8,10.830987930297852) (823,10.685404777526855) (665,10.671951293945312) (2208,10.6337308883667)* (1202,10.607993125915527) (922,10.59687614440918)* (1187,10.58702564239502) (158,10.563464164733887)
157: (312,12.072896003723145) (1186,11.964330673217773) (185,11.126412391662598)* (553,11.118043899536133)* (3862,10.985033988952637) (952,10.952751159667969) (211,10.948052406311035)* (129,10.898542404174805) (1187,10.79310131072998) (3231,10.755517959594727) (84,10.693366050720215) (360,10.623981475830078) (823,10.511920928955078)* (265,10.477160453796387) (875,10.390653610229492) (717,10.387927055358887) (721,10.37253189086914)* (1196,10.307656288146973) (2925,10.261635780334473) (922,10.255868911743164)
161: (512,13.860832214355469) (164,13.206071853637695)* (1144,13.138818740844727)* (2069,12.443312644958496) (575,12.135351181030273)* (823,12.110214233398438) (88,12.050596237182617) (419,11.973505020141602) (625,11.959392547607422) (131,11.877394676208496) (153,11.845661163330078) (215,11.748848915100098)* (1100,11.69269847869873) (862,11.577268600463867)* (20672,11.509099960327148) (941,11.484100341796875) (190,11.480341911315918) (3346,11.439201354980469) (107,11.382110595703125)* (312,11.344064712524414)
166: (167,3.4553422927856445) (48,3.447239875793457) (15,3.4281349182128906) (215,3.358769655227661) (67,3.2399449348449707) (312,3.1649887561798096) (276,3.164212226867676) (17,3.1506471633911133) (115,3.1232762336730957) (265,3.1134376525878906) (11,3.099760055541992) (4,3.093984603881836) (18,3.0920352935791016) (72,3.0703699588775635) (298,3.0350911617279053) (823,3.0267345905303955) (107,3.0170857906341553) (185,3.015467405319214) (324,3.006683826446533) (131,2.9849653244018555)
169: (185,9.468339920043945) (15,8.990668296813965) (520,8.779581069946289) (364,8.717253684997559) (2609,8.668356895446777) (164,8.612895965576172) (1063,8.568376541137695) (153,8.220029830932617) (512,8.213846206665039)* (147,8.20333480834961) (166,8.18582534790039) (1058,8.161672592163086) (419,8.085357666015625) (167,8.082980155944824) (1278,7.977375507354736) (625,7.895362377166748) (721,7.853393077850342) (539,7.7947587966918945) (388,7.732471466064453) (1093,7.719086647033691)
173: (8,15.66573429107666)* (273,15.477313995361328)* (1875,15.08272647857666)* (35,14.492063522338867)* (5207,14.479098320007324)* (3847,14.42416763305664)* (385,14.20463752746582)* (675,13.634647369384766)* (4215,13.57618522644043)* (1063,13.531092643737793) (178,13.494475364685059)* (2072,13.466129302978516) (1034,13.407206535339355)* (210,13.37962532043457)* (51,13.34219741821289)* (30483,13.233911514282227) (1645,13.199270248413086)* (205,13.032733917236328)* (663,13.00628662109375)* (3551,12.974370956420898)
174: (167,15.229286193847656) (215,15.005389213562012)* (15,14.980637550354004)* (439,14.704985618591309)* (354,14.262771606445312) (48,14.015382766723633)* (1374,13.716169357299805)* (355,13.640666961669922)* (14,13.560108184814453)* (211,13.533073425292969)* (18,13.461090087890625)* (2287,13.352349281311035)* (274,13.283950805664062) (676,13.235374450683594) (224,13.105914115905762) (371,13.038381576538086)* (50,12.821127891540527) (189,12.768628120422363)* (263,12.537347793579102)* (2328,12.508060455322266)*
175: (1158,18.979843139648438)* (1063,18.412357330322266) (1575,16.072200775146484) (3747,15.771909713745117) (1553,15.495763778686523) (3659,15.282073020935059)* (3727,15.25885009765625) (761,15.161941528320312) (1027,15.067731857299805)* (125,15.002182006835938) (73,14.948999404907227)* (115,14.89834976196289)* (523,14.815458297729492)* (279,14.648094177246094)* (21335,14.577390670776367) (1396,14.490163803100586)* (1989,14.438079833984375) (948,14.436222076416016) (4486,14.408803939819336) (529,14.370140075683594)*
188: (990,11.385616302490234) (15,11.303144454956055) (731,11.022028923034668) (67,10.920499801635742)* (423,10.792861938476562) (1260,10.778352737426758) (1759,10.62144660949707) (520,10.565853118896484) (3102,10.526949882507324)* (2653,10.476093292236328) (1202,10.410961151123047)* (3084,10.376773834228516)* (1353,10.270818710327148)* (85,10.199533462524414) (952,10.18767261505127) (4170,10.066561698913574) (413,10.056158065795898) (1061,9.990272521972656)* (130,9.963495254516602) (3483,9.929193496704102)
197: (167,10.821958541870117)* (560,10.669008255004883)* (512,10.179299354553223) (67,10.175122261047363)* (1278,9.932051658630371)* (116,9.848651885986328)* (364,9.831851959228516)* (48,9.8201265335083) (539,9.723259925842285) (1027,9.522932052612305) (95,9.491413116455078) (721,9.432753562927246)* (818,9.365840911865234) (1187,9.302173614501953)* (162,9.290695190429688)* (625,9.18634033203125) (1553,9.116846084594727) (6,9.086936950683594) (686,9.086874008178711)* (153,9.059728622436523)
198: (15,7.548019886016846) (130,7.203765869140625) (167,7.050134658813477) (185,6.719378471374512)* (364,6.549786567687988) (4,6.544276237487793) (48,6.527125358581543) (560,6.482792854309082) (721,6.470674991607666) (324,6.4519171714782715) (520,6.4047465324401855) (265,6.376185417175293) (147,6.352705478668213) (136,6.350261211395264) (1063,6.343495845794678) (818,6.322983741760254) (95,6.272634506225586) (889,6.272201061248779) (704,6.268649101257324) (162,6.2673563957214355)
200: (33,13.573238372802734)* (20672,13.290908813476562) (364,13.175990104675293)* (359,13.136886596679688) (3403,13.092205047607422) (90,12.753568649291992)* (17,12.746716499328613)* (2012,12.672775268554688)* (2150,12.607572555541992)* (347,12.562594413757324)* (348,12.493351936340332) (79,12.348217010498047)* (267,12.188241958618164)* (1187,12.094589233398438)* (1273,11.935019493103027) (520,11.923036575317383) (1207,11.893745422363281)* (11,11.86280632019043)* (3216,11.862378120422363)* (2672,11.859284400939941)*
207: (15,9.352680206298828)* (131,8.563604354858398) (324,8.295364379882812) (312,8.227339744567871) (130,8.098466873168945) (371,8.020030975341797) (107,7.958276748657227) (665,7.894123077392578) (17,7.791352272033691) (136,7.729190826416016) (922,7.686577796936035) (560,7.661565780639648) (512,7.659320831298828) (35,7.620460510253906) (374,7.615246772766113) (298,7.607697486877441) (364,7.591317176818848) (63,7.566829681396484)* (1281,7.54779052734375) (222,7.536735534667969)
