userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (167,9.609149932861328) (324,9.25804615020752) (674,8.09712028503418) (173,8.095165252685547) (211,8.042245864868164)* (131,7.729236602783203) (18,7.539275169372559) (17,7.483797073364258) (48,7.336407661437988) (440,7.318953514099121) (1202,7.304997444152832) (632,7.257976055145264) (67,7.225257873535156) (162,7.220296859741211) (371,7.121462821960449) (363,7.053854942321777) (169,6.948398590087891) (107,6.721583366394043) (665,6.695441246032715) (170,6.693068504333496)
2: (215,12.482405662536621)* (11,12.113523483276367)* (10,11.823013305664062)* (211,11.19953727722168) (189,10.847212791442871) (661,10.839173316955566) (439,10.01237964630127) (158,9.943937301635742) (665,9.898183822631836) (274,9.585053443908691)* (382,9.283899307250977) (15098,9.039584159851074) (258,8.954174995422363)* (3445,8.927000045776367) (964,8.857281684875488) (2266,8.689603805541992) (3849,8.675369262695312) (241,8.616291999816895)* (1202,8.613611221313477) (922,8.568957328796387)
3: (15,11.974227905273438) (167,10.777535438537598) (48,9.057502746582031) (215,8.920614242553711) (674,8.6317138671875) (162,8.496973037719727) (35,8.343111038208008)* (107,7.874665260314941) (440,7.860876083374023) (139,7.821686267852783) (11,7.809103965759277) (922,7.80766487121582) (632,7.717533111572266) (265,7.67397928237915) (156,7.662533760070801) (5,7.46376371383667) (665,7.429030418395996) (4,7.27170467376709) (1357,7.221127510070801) (211,7.189255714416504)
5: (167,14.08272647857666)* (4,13.52418327331543) (8,13.121598243713379)* (210,12.517766952514648) (986,12.20541000366211) (162,11.125422477722168) (721,10.704692840576172) (324,10.611003875732422) (131,10.379900932312012) (1243,10.184595108032227) (810,9.888001441955566) (11,9.880130767822266) (717,9.848587989807129)* (1357,9.750905990600586) (205,9.582276344299316) (421,9.491203308105469) (203,9.392740249633789) (34,9.321558952331543) (434,9.30794906616211) (6,9.03359603881836)
11: (71,12.98385238647461)* (889,12.767921447753906) (419,11.509923934936523) (116,11.205730438232422) (15,10.918233871459961) (746,10.370375633239746)* (404,10.33483600616455) (553,10.098544120788574)* (1027,9.914910316467285) (134,9.823862075805664)* (1232,9.693166732788086)* (837,9.657266616821289) (95,9.40498161315918)* (442,9.38681411743164) (990,9.198554992675781) (498,8.882892608642578) (203,8.841962814331055) (821,8.833598136901855) (129,8.6488037109375) (864,8.492289543151855)
18: (139,12.564942359924316)* (222,11.772945404052734)* (173,11.33216667175293)* (135,11.07165241241455) (73,10.704642295837402)* (669,10.497537612915039) (8,10.477602005004883)* (11,10.458035469055176)* (444,10.322042465209961)* (205,10.149873733520508)* (136,9.912145614624023) (4,9.847370147705078)* (404,9.76435375213623) (48,9.387868881225586) (161,9.374542236328125)* (371,9.313573837280273) (520,9.181868553161621) (2173,9.077858924865723)* (913,9.073165893554688)* (71,9.03964614868164)
24: (89,9.76729965209961) (123,9.658101081848145) (174,9.559501647949219) (69,9.532100677490234)* (337,8.86953353881836) (122,8.808036804199219) (170,8.31461238861084)* (90,8.094246864318848)* (276,8.020790100097656)* (371,7.9956865310668945) (324,7.848410606384277) (20672,7.834845066070557) (875,7.796652317047119)* (1022,7.583572864532471) (1242,7.513972282409668) (71,7.464750289916992) (1224,7.371211528778076) (3397,7.198500633239746) (288,7.056580543518066) (167,6.888100624084473)
30: (2055,10.080551147460938) (423,9.304047584533691) (1222,8.85544204711914) (6906,8.814915657043457) (2365,8.713007926940918) (2610,8.672540664672852) (2616,8.441837310791016) (898,8.42844295501709) (95,8.302793502807617) (501,8.300708770751953) (910,8.084062576293945) (4897,7.940868377685547) (814,7.843873500823975) (983,7.843775272369385) (102,7.768148422241211) (1816,7.703035354614258) (2032,7.640897750854492) (494,7.434624671936035) (124,7.372368335723877)* (2057,7.366374969482422)
50: (15,3.679696559906006) (302,3.5751452445983887) (48,3.5495409965515137) (158,3.3593568801879883) (298,3.3292229175567627) (354,3.3180325031280518) (167,3.2735633850097656) (355,3.224569082260132) (67,3.1559717655181885) (922,3.134669303894043) (674,3.0786008834838867) (367,3.0386807918548584) (434,3.0008273124694824) (439,2.9951090812683105) (4,2.987198829650879) (324,2.985517740249634) (14,2.946655035018921) (224,2.927358865737915) (312,2.9152910709381104) (371,2.8359687328338623)
59: (388,10.611892700195312)* (11,9.293508529663086)* (215,8.872971534729004) (67,8.837369918823242) (722,8.821870803833008)* (986,8.755859375)* (669,8.60500717163086) (440,8.417731285095215) (130,8.388084411621094) (136,8.318805694580078) (199,8.302511215209961) (265,8.115676879882812) (419,8.111320495605469) (385,8.062108039855957)* (222,7.939287185668945) (123,7.760458946228027) (363,7.715773582458496)* (1243,7.68769645690918) (169,7.684535503387451) (312,7.631131649017334)*
60: (15,12.316056251525879)* (575,11.160086631774902)* (539,10.761157035827637)* (1144,10.726805686950684)* (11,10.194753646850586) (628,9.897747993469238) (162,9.548397064208984) (364,9.053442001342773) (3266,8.915279388427734) (875,8.909368515014648) (190,8.758649826049805) (404,8.62322998046875) (1087,8.532132148742676) (170,8.428993225097656)* (324,8.234760284423828) (1072,8.22146987915039) (440,8.169387817382812)* (626,8.060385704040527) (153,7.847046852111816) (1202,7.7641448974609375)
