userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (364,5.637739181518555) (1,5.2986531257629395)* (2081,4.205761909484863) (34,4.190133571624756) (2687,4.018453121185303) (2096,4.000216484069824) (1028,3.881499767303467)* (318,3.7455759048461914) (2087,3.630396842956543) (1097,3.630168914794922)* (2085,3.6042373180389404) (2078,3.4437508583068848) (2761,3.43930983543396) (1688,3.4245643615722656) (2018,3.3780999183654785)* (1029,3.362694501876831)* (3751,3.3592886924743652) (596,3.294987916946411) (1282,3.227409839630127) (1704,3.0956802368164062)
2: (110,5.478928565979004)* (1704,5.086934566497803) (527,4.869196891784668) (150,4.867341995239258) (593,4.162242412567139)* (1961,4.092596054077148) (1721,3.8436203002929688) (1291,3.5301012992858887) (2571,3.506254196166992)* (858,3.4941153526306152) (1242,3.464484691619873) (1225,3.409503221511841)* (1097,3.391256809234619) (62,3.3651533126831055) (1302,3.3415329456329346) (3256,3.322666645050049) (1393,3.3108460903167725) (260,3.2611687183380127) (377,3.255131244659424) (733,3.2399840354919434)
3: (1270,4.621857166290283) (2918,4.399325370788574) (2716,4.200939655303955) (2791,3.999906301498413) (2804,3.924236297607422) (2797,3.6787800788879395) (110,3.623384952545166) (1073,3.607652425765991) (1220,3.6041419506073) (1307,3.5564687252044678) (1036,3.4694387912750244) (2000,3.365051507949829) (2174,3.3506693840026855) (2406,3.346327304840088) (3361,3.003309488296509) (919,2.973707675933838) (592,2.952831745147705) (2028,2.9133358001708984) (1278,2.909343719482422) (2628,2.8993020057678223)
5: (2599,6.33109712600708)* (2858,5.601525783538818)* (3160,5.13437557220459) (223,4.786654472351074) (2336,4.52424430847168) (1041,4.321977615356445) (778,4.230353355407715) (247,4.142757415771484) (1673,4.0078935623168945) (1617,3.9560084342956543) (3176,3.9445414543151855) (235,3.9061269760131836) (1719,3.8853888511657715) (2762,3.7674918174743652) (1148,3.740414619445801) (1179,3.6678218841552734) (1089,3.537665605545044)* (745,3.5158865451812744) (800,3.4348974227905273) (1188,3.3994016647338867)
6: (899,4.332273960113525) (2080,4.309889793395996) (1022,4.262407302856445) (2096,4.025585651397705) (1721,4.003530502319336) (539,3.810821294784546) (2565,3.618659734725952) (1569,3.5189695358276367)* (2087,3.496108293533325) (594,3.4868290424346924) (3512,3.4427695274353027) (919,3.4315876960754395) (3408,3.3971712589263916)* (2424,3.3809242248535156) (2941,3.3682570457458496) (1907,3.287135601043701) (356,3.2702150344848633) (1282,3.2480971813201904) (1307,3.223444700241089) (2355,3.2094717025756836)
7: (589,6.108413219451904)* (2571,5.524289131164551)* (480,5.441349029541016)* (377,5.170675277709961) (1370,4.898184776306152) (1608,4.30119514465332) (1036,4.261099338531494) (780,4.221014976501465) (2058,4.077716827392578) (165,4.020028591156006) (10,3.8476226329803467) (1527,3.6206541061401367) (1552,3.6148810386657715) (2763,3.4312195777893066) (1291,3.3249099254608154) (2006,3.2893922328948975) (2278,3.2369956970214844) (3555,3.2312183380126953) (2628,3.1951980590820312) (1917,3.1716623306274414)
8: (2028,5.250776290893555)* (318,4.457859992980957) (3418,4.3389787673950195) (1183,4.302415370941162) (2571,4.211400032043457)* (3160,4.170784950256348) (778,4.16562032699585) (589,4.074909687042236)* (590,4.058413505554199) (2959,4.037129878997803) (25,3.8708109855651855)* (1408,3.8146626949310303) (593,3.8095200061798096) (2336,3.7731142044067383) (36,3.743727684020996)* (1393,3.739793300628662)* (1094,3.7314109802246094) (1358,3.7067463397979736) (1584,3.599916458129883) (47,3.560637950897217)
9: (296,6.7878007888793945) (2997,5.668290138244629) (1213,5.536608695983887)* (110,5.176237106323242) (2396,5.120578289031982) (356,4.9839558601379395) (150,4.844635009765625) (34,4.422137260437012) (32,4.411251068115234) (1784,4.340112209320068) (3578,4.230360984802246) (3006,4.206992149353027) (1393,4.175705432891846) (589,4.126554489135742) (2329,4.0437493324279785) (2599,3.9671225547790527) (1060,3.9609756469726562)* (2355,3.933135986328125)* (2501,3.8717031478881836) (3160,3.7689321041107178)
10: (2080,6.190688133239746)* (1356,5.960575580596924)* (2628,5.782377243041992) (1376,5.549191474914551)* (2407,5.432301044464111)* (1197,5.32023811340332)* (2657,5.284463405609131)* (1721,5.192439079284668) (2424,5.186668872833252)* (329,5.153599262237549)* (316,5.01407527923584)* (1278,4.976523399353027)* (2565,4.933219909667969) (1569,4.892882347106934) (3114,4.815878868103027)* (2085,4.790965557098389) (3479,4.778401851654053) (11,4.6863203048706055) (500,4.671863555908203) (440,4.572059631347656)
11: (223,5.121764183044434) (296,4.919686794281006) (318,4.888932228088379)* (1060,4.8075456619262695) (1517,4.7683329582214355) (2395,4.468722343444824) (3253,4.144193649291992) (2599,4.024011135101318) (2706,4.020638465881348) (2324,3.9971179962158203) (1213,3.9310059547424316)* (1968,3.896275520324707) (2700,3.747500419616699) (3052,3.736050605773926) (441,3.6500606536865234) (2502,3.632246971130371) (180,3.631533622741699) (1265,3.573655605316162) (69,3.5579020977020264) (47,3.539127826690674)
12: (1193,3.116100549697876)* (260,2.9758315086364746) (608,2.9645261764526367) (912,2.857752561569214) (1213,2.741748332977295) (1252,2.4792661666870117) (1214,2.405601978302002) (1219,2.4024431705474854) (908,2.386808395385742) (296,2.3630363941192627) (50,2.3251595497131348) (2858,2.3030357360839844) (1198,2.271475315093994)* (2019,2.260317325592041) (750,2.251102924346924) (1247,2.2313153743743896) (1617,2.2157747745513916) (318,2.178093194961548) (1207,2.1681385040283203) (1230,2.1579654216766357)
13: (2628,4.848600387573242) (1240,4.1730146408081055) (1580,3.982661724090576)* (527,3.937556266784668)* (2916,3.6788628101348877) (1376,3.610992193222046) (1610,3.3841047286987305) (2762,3.374877452850342) (1200,3.3622519969940186) (457,3.3569087982177734) (858,3.223949432373047) (1270,3.1082544326782227) (541,3.1053879261016846) (1214,3.0872979164123535) (1036,3.036795139312744) (1242,2.7971339225769043) (3175,2.7953476905822754) (2858,2.784701347351074) (316,2.7694859504699707) (2393,2.7643227577209473)
14: (2858,3.9269180297851562) (2959,2.9249796867370605) (2599,2.4565799236297607) (223,2.4098243713378906) (2908,2.398519515991211) (2762,2.382934331893921)* (527,2.25237774848938) (318,2.137831687927246) (2336,2.113826274871826) (2395,2.077869415283203) (3160,2.032804489135742) (2712,1.9762046337127686) (3176,1.9680519104003906) (608,1.9080837965011597) (2028,1.8828346729278564) (2324,1.8760263919830322) (2683,1.857177972793579) (858,1.8549110889434814) (1213,1.7849597930908203) (3174,1.7711961269378662)
15: (3147,5.897253036499023)* (110,5.445176601409912)* (2688,5.184810161590576) (2763,4.940276622772217) (2605,4.908394813537598) (2959,4.863486289978027) (3623,4.758383750915527) (2881,4.647434711456299) (1721,4.553203105926514) (457,4.52902889251709)* (3510,4.4254045486450195)* (3555,4.3852715492248535) (454,4.268775463104248) (733,4.235664367675781) (480,4.222661018371582)* (1617,4.2174530029296875) (2683,4.17949914932251)* (150,4.068260669708252) (1393,4.057673454284668) (2353,4.053596019744873)
16: (3114,4.0867085456848145) (2716,3.865823745727539) (2706,3.80452299118042) (2770,3.5935218334198) (2987,3.535581588745117) (2694,3.4400835037231445) (1127,3.4299466609954834) (2396,3.243833541870117) (2688,3.193087100982666) (3157,3.1577000617980957) (2433,3.0330965518951416) (2605,2.930241346359253) (3408,2.929586410522461) (2881,2.860473394393921) (2763,2.845531463623047) (2762,2.8352713584899902) (1959,2.826383590698242) (2858,2.7801733016967773) (1513,2.7406134605407715) (3005,2.7253100872039795)
17: (1653,6.372507572174072)* (1527,5.651252746582031)* (1199,5.514431953430176) (1097,5.44155740737915) (2968,5.243081092834473) (1301,5.208907127380371)* (2762,5.075362682342529)* (3702,4.831620216369629) (1396,4.820211410522461) (750,4.811915397644043)* (608,4.665309429168701) (3703,4.574821949005127)* (2628,4.531708717346191) (1676,4.48797607421875) (1372,4.292389392852783) (2985,4.196518898010254)* (3578,4.162103652954102)* (1573,4.140049934387207) (296,4.098297119140625)* (2393,3.9784679412841797)
18: (595,7.049520015716553)* (1022,6.245809555053711)* (1028,5.332320690155029)* (1032,5.286236763000488)* (3034,5.164295673370361)* (1033,4.72445011138916)* (260,4.718286037445068)* (497,4.639676570892334) (661,4.616285800933838) (2687,4.431354522705078) (914,4.405573844909668) (1275,4.379837512969971)* (1148,4.259093761444092) (2396,4.2373948097229) (1101,4.2085676193237305) (1566,4.207113265991211) (3114,4.197490692138672) (2406,4.140750885009766) (783,4.137580394744873) (653,4.119413375854492)
