userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (1,10.13360595703125)* (318,6.722059726715088) (593,6.650649070739746) (364,6.433259963989258) (2987,5.854920387268066) (34,5.6027021408081055) (2081,5.18256139755249) (1196,5.156299114227295) (1198,5.007812976837158) (1704,4.844308853149414) (589,4.806772232055664) (1022,4.715783596038818)* (1225,4.708525657653809) (2085,4.582291126251221) (2761,4.458794116973877) (2078,4.419451713562012) (3751,4.4058332443237305) (2687,4.384688854217529) (110,4.307456016540527) (2096,4.302864074707031)
2: (2028,7.927230358123779)* (318,7.405675888061523)* (527,7.061259746551514) (1704,6.218286514282227) (260,5.931603908538818) (858,5.858087062835693) (2571,5.618502140045166)* (608,5.607938289642334) (150,5.5634236335754395) (1198,5.525322914123535)* (912,5.061315536499023) (1221,4.842257022857666) (1961,4.759868621826172) (1213,4.694925785064697) (296,4.663806915283203) (1580,4.628366470336914) (3418,4.567182540893555)* (2762,4.530747413635254) (1721,4.39820671081543) (1242,4.313980579376221)
3: (1259,6.743516445159912)* (1197,6.556851387023926)* (260,6.051172733306885)* (2918,6.005281448364258) (1270,5.422253608703613) (2797,5.329166889190674) (2987,5.252257347106934) (2716,5.034430980682373) (1220,4.7540483474731445) (2804,4.681197166442871) (2174,4.576911926269531) (2000,4.567837715148926) (1307,4.4816741943359375) (2028,4.401792526245117) (3421,4.366796970367432)* (110,4.318287372589111) (1036,4.289488315582275) (2406,4.2122955322265625) (1073,4.058469772338867) (2791,4.045523643493652)
4: (1250,2.058884859085083) (1193,1.9169561862945557) (1207,1.7710295915603638) (858,1.663003921508789) (923,1.6507604122161865) (1221,1.6448090076446533) (1276,1.6442031860351562) (1952,1.622531533241272) (318,1.588620662689209) (1213,1.5820724964141846) (111,1.481949806213379) (912,1.4621005058288574) (1247,1.4536054134368896) (593,1.42824387550354) (1084,1.4252527952194214) (1252,1.416253685951233) (1208,1.413575291633606) (1945,1.3687527179718018) (3735,1.3408182859420776) (1228,1.3385381698608398)
5: (2716,2.6314079761505127) (913,2.232048749923706)* (2355,2.0622799396514893)* (2683,2.0214803218841553) (3175,1.7350726127624512) (3114,1.669668197631836) (1127,1.637028694152832) (588,1.5608396530151367) (223,1.5588617324829102) (2700,1.552394151687622)* (2770,1.5453753471374512)* (1291,1.426155686378479) (2997,1.3993110656738281)* (2761,1.38946533203125) (1196,1.380807638168335) (1198,1.3488619327545166) (785,1.3337419033050537) (2706,1.3145015239715576) (2396,1.3061978816986084) (2394,1.3029656410217285)
6: (356,4.614274501800537) (364,4.441895484924316)* (1721,4.356707572937012) (914,4.316462993621826)* (2080,4.183126926422119) (899,4.13018274307251) (1947,4.089174270629883)* (2355,4.087950706481934) (597,4.074970722198486)* (110,4.021539688110352) (587,4.0107316970825195) (1022,3.890249252319336) (2671,3.8221747875213623) (3114,3.79907488822937) (2424,3.7811880111694336) (539,3.76822829246521) (3578,3.7530393600463867)* (3512,3.6450955867767334) (919,3.545046329498291) (3751,3.5397045612335205)
7: (480,7.635290145874023)* (2058,6.621047019958496) (1036,6.044985771179199) (1370,6.001771926879883) (1580,5.98018217086792)* (377,5.957149505615234) (1608,5.633501052856445) (780,5.562527656555176) (1198,5.346148490905762) (1240,5.284969329833984) (260,5.183018684387207) (593,5.142007350921631) (1210,5.111098289489746) (1291,5.018609046936035) (10,4.652002334594727) (2628,4.5882792472839355) (1527,4.553502559661865) (3578,4.529010772705078) (165,4.513023853302002) (1196,4.4700236320495605)*
8: (589,6.999939918518066)* (318,6.570011138916016) (590,6.422804832458496) (593,6.304060935974121) (2571,6.173979759216309)* (1408,5.722253799438477) (296,5.719554901123047)* (3418,5.65225887298584) (1183,5.536581039428711) (1393,5.508469581604004)* (2336,5.427056312561035) (1213,5.329102039337158)* (1673,5.27279806137085)* (608,5.123147010803223)* (2959,5.0183916091918945) (3100,5.016298770904541) (3252,4.966714859008789) (2324,4.964200019836426) (2268,4.913628101348877) (32,4.895483016967773)
9: (296,9.2958984375) (2997,9.138482093811035) (589,9.096574783325195) (1617,8.254425048828125)* (110,7.214195728302002) (2396,7.137056350708008) (1089,6.4055376052856445)* (34,6.137178421020508) (2324,5.9893412590026855)* (3006,5.943922996520996) (356,5.888574600219727) (3578,5.722201347351074) (3793,5.694440841674805)* (1196,5.632611274719238) (260,5.553457260131836) (2599,5.526641845703125) (32,5.4453253746032715) (150,5.407289505004883) (1259,5.297905921936035) (1197,5.224967002868652)
10: (2987,2.802671432495117) (2997,2.1013574600219727)* (2858,1.966206669807434) (2396,1.793464183807373)* (2161,1.7786755561828613)* (1967,1.6100271940231323)* (2193,1.5537935495376587)* (2716,1.498955249786377)* (2336,1.4670469760894775)* (1259,1.4649138450622559) (2140,1.4539473056793213)* (2174,1.432296633720398)* (2572,1.3982287645339966) (2005,1.313961148262024)* (3479,1.3027160167694092) (1197,1.2438640594482422)* (2683,1.1937782764434814) (1073,1.192439079284668)* (2143,1.1838188171386719) (2723,1.1801071166992188)
11: (296,7.323143482208252) (223,7.055582523345947) (1265,6.622765064239502) (1060,6.5210371017456055) (50,6.444100856781006)* (1,6.132750034332275) (1517,6.106306076049805) (1259,5.88247013092041) (2599,5.683579444885254) (2324,5.667449474334717) (3253,5.642184734344482) (2706,5.480947017669678) (2395,5.445751190185547) (1968,5.437316417694092) (2028,5.339529037475586) (2700,5.27802038192749) (527,5.263447284698486) (3421,5.244766712188721) (1197,4.893924713134766)* (1617,4.856058597564697)
